record_type,contrast_id,priority,target,comparator,path_id,metric,target_value,comparator_value,effect_comparator_minus_target,relative_effect_pct,target_to_comparator_ratio,positive_favors_target,route_id,estimate,bootstrap_mean,ci95_low,ci95_high,iterations,random_seed,n_paths
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p01_factory_logistics_showcase,epsi_rmse,0.0175579615413101,1.4852956097133874,1.4677376481720772,98.81788100452957,0.011821189954704171,True,P1,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p02_sharp_turn_transition,epsi_rmse,0.0433192647906086,0.2197445428771021,0.1764252780864935,80.28653443519823,0.1971346556480178,True,P2,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p03_long_updown,epsi_rmse,0.0144545066846696,0.1845487843117201,0.17009427762705048,92.16765001266299,0.07832349987337002,True,P3,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p04_soft_updown_straight_turn,epsi_rmse,0.0070598138824973,0.0075050696575375,0.00044525577504019986,5.932733410315787,0.9406726658968422,True,P4,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p05_factory_flat_logistics,epsi_rmse,0.0076950556264506,0.0076132914908095,-8.176413564109971e-05,-1.0739656525669945,1.0107396565256699,True,P5,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p06_downhill_after_turn,epsi_rmse,0.050740796736784,0.1475434416880615,0.0968026449512775,65.60958850067973,0.3439041149932027,True,P6,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p01_factory_logistics_showcase,j_du,0.054300668100456,1931.3989856239816,1931.3446849558811,99.99718853181012,2.81146818987859e-05,True,P1,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p02_sharp_turn_transition,j_du,0.487418767894076,1543.6733209609306,1543.1859021930366,99.96842474626752,0.00031575253732484004,True,P2,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p03_long_updown,j_du,1.27943243005297,700.5287606764912,699.2493282464382,99.8173618983441,0.0018263810165587483,True,P3,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p04_soft_updown_straight_turn,j_du,0.660065682138875,0.2992764992468628,-0.3607891828920122,-120.55379684002844,2.2055379684002845,True,P4,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p05_factory_flat_logistics,j_du,0.0188134433252553,0.0188101262988197,-3.317026435599446e-06,-0.01763425924369037,1.0001763425924368,True,P5,,,,,,,
route_effect,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,p06_downhill_after_turn,j_du,0.598747818941387,0.1644748851075509,-0.43427293383383603,-264.0360159241716,3.640360159241716,True,P6,,,,,,,
bootstrap_summary,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,,ey_rmse,,,,,,,,1.4679837236765056,1.4729203662961263,0.1171514065563091,3.746816090827332,10000.0,20260715.0,6.0
bootstrap_summary,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,,epsi_rmse,,,,,,,,0.3306491419674822,0.3312707963513824,0.0506529128862046,0.8000447207231401,10000.0,20260715.0,6.0
bootstrap_summary,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,,j_du,,,,,,,,695.5871020059634,698.037494479518,116.40830243921,1339.4542529553248,10000.0,20260715.0,6.0
bootstrap_summary,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,,ey_rmse,,,,,,,,1.4599496978357012,1.4648243941575936,0.1191682370184715,3.728483800640926,10000.0,20260715.0,6.0
bootstrap_summary,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,,epsi_rmse,,,,,,,,0.3185705567460496,0.3191681510509944,0.044603984309521026,0.791608456015689,10000.0,20260715.0,6.0
bootstrap_summary,A3_IMU_VS_ZS,secondary,RKF_RA_X2_QG_X05_LPV_MPC,ZS_LPV_MPC,,j_du,,,,,,,,695.4974749936005,695.0214095318727,116.27653344932666,1339.4115469983487,10000.0,20260715.0,6.0
