method_id,method_label,t_s,theta_true,theta_sched,e_y,e_psi,F_cmd,omega_cmd,j_du_cumulative,theta_true_deg,theta_sched_deg,ey_rmse,epsi_rmse,j_du
ZS_LPV_MPC,Zero-grade,0.0,0.0,0.0,0.0,0.0,72.7501682331786,8.09872435443282e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.01,0.0,0.0,0.0,0.0,151.776390292682,1.66787317414929e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.02,0.0,0.0,0.0,0.0,225.109198101796,0.0002193708800621,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.03,0.0,0.0,0.0,0.0,289.959749967791,0.0002029071397675,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.04,0.0,0.0,0.0,0.0,346.542938263156,0.0002420211480842,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.05,0.0,0.0,0.0,0.0,395.380508453585,0.0002572668546338,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.06,0.0,0.0,0.0,0.0,436.736576572992,0.0002627277289537,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.07,0.0,0.0,0.0,0.0,470.74452366028,0.0002608982596701,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.08,0.0,0.0,0.0,0.0,497.624147341587,0.0002536384696032,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.09,0.0,0.0,0.0,0.0,517.771773443557,0.000242430049882,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.1,0.0,0.0,0.0,0.0,531.712050677277,0.000228515964709,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.11,0.0,0.0,0.0,0.0,540.151066006161,0.0002128756131742,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.12,0.0,0.0,0.0,0.0,543.801289887167,0.0001964031477985,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.13,0.0,0.0,0.0,0.0,543.36108929012,0.0001797412994779,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.14,0.0,0.0,0.0,0.0,539.494324685074,0.0001633695269891,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.15,0.0,0.0,0.0,0.0,532.748219490982,0.0001476466935219,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.16,0.0,0.0,0.0,0.0,523.758485765196,0.0001327219271036,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.17,0.0,0.0,0.0,0.0,513.018457860686,0.0001188483067995,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.18,0.0,0.0,0.0,0.0,500.934235037304,0.0001060818844838,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.19,0.0,0.0,0.0,0.0,487.85071989987,9.4425897104955e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.2,0.0,0.0,0.0,0.0,473.964833036996,8.3873530558165e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.21,0.0,0.0,0.0,0.0,459.649236083962,7.42615977333827e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.22,0.0,0.0,0.0,0.0,445.119352818467,6.56860023173778e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.23,0.0,0.0,0.0,0.0,430.521314741112,5.8050719376368e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.24,0.0,0.0,0.0,0.0,415.970922992565,5.12558634273574e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.25,0.0,0.0,0.0,0.0,401.439533398487,4.52374010411205e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.26,0.0,0.0,0.0,0.0,387.171984747983,3.97730340626623e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.27,0.0,0.0,0.0,0.0,373.24668634031,3.49930237337759e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.28,0.0,0.0,0.0,0.0,359.686366022564,3.07989501084904e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.29,0.0,0.0,0.0,0.0,346.504305169918,2.70987804231737e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.3,0.0,0.0,0.0,0.0,333.562164337374,2.38494283895108e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.31,0.0,0.0,0.0,0.0,321.074505374767,2.08273880435428e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.32,0.0,0.0,0.0,0.0,309.0695498446,1.82285499921164e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.33,0.0,0.0,0.0,0.0,297.521529004909,1.59733669864437e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.34,0.0,0.0,0.0,0.0,286.40458546672,1.39883777752203e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.35,0.0,0.0,0.0,0.0,275.525371030904,1.22533803068592e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.36,0.0,0.0,0.0,0.0,265.109940798022,1.05445560780737e-05,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.37,0.0,0.0,0.0,0.0,255.172646821476,9.11459930996728e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.38,0.0,0.0,0.0,0.0,245.669622712769,7.8956399693908e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.39,0.0,0.0,0.0,0.0,236.560767033137,6.82449591415946e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.4,0.0,0.0,0.0,0.0,227.619299196638,5.89399852124473e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.41,0.0,0.0,0.0,0.0,219.097192869522,4.87374691893194e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.42,0.0,0.0,0.0,0.0,211.007985309698,4.0618940477799e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.43,0.0,0.0,0.0,0.0,203.300648049451,3.39444342678519e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.44,0.0,0.0,0.0,0.0,195.929614902474,2.81129351442644e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.45,0.0,0.0,0.0,0.0,188.642818101682,2.3107894140395e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.46,0.0,0.0,0.0,0.0,181.721951269545,1.65215581837685e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.47,0.0,0.0,0.0,0.0,175.183893398382,1.17115719611149e-06,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.48,0.0,0.0,0.0,0.0,168.974076860584,8.0303381544411e-07,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.49,0.0,0.0,0.0,0.0,163.044305370189,4.86679427424974e-07,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.5,0.0,0.0,0.0,0.0,157.120465361513,2.21541883504983e-07,0.0,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.51,0.0,0.0,0.0,0.0,151.514027231373,-2.4481977156654e-07,0.007225781265997201,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.52,0.0,0.0,0.0,0.0,146.246232365258,-5.44078877950938e-07,0.013605014082426536,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.53,0.0,0.0,0.0,0.0,141.260041208006,-7.44102178984463e-07,0.019320439888554884,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.54,0.0,0.0,0.0,0.0,136.505410117097,-9.09022146444727e-07,0.0245173403047936,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.55,0.0,0.0,0.0,0.0,131.687736072577,-1.04073956030959e-06,0.029852968626458372,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.56,0.0,0.0,0.0,0.0,127.147094477899,-1.40323667885411e-06,0.03459260680837102,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.57,0.0,0.0,0.0,0.0,122.909074102528,-1.59906941199495e-06,0.03872153018815489,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.58,0.0,0.0,0.0,0.0,118.914394234307,-1.70028400781064e-06,0.04238991346391815,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.59,0.0,0.0,0.0,0.0,115.111288328655,-1.77494897535269e-06,0.04571488232129864,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.6,0.0,0.0,0.0,0.0,111.185683173127,-1.8276874040879e-06,0.04925749745626599,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.61,0.0,0.0,0.0,0.0,107.504728150554,-2.13322995357146e-06,0.05237230892252012,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.62,0.0,0.0,0.0,0.0,104.098039628006,-2.2676036888214e-06,0.05504024609255696,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.63,0.0,0.0,0.0,0.0,100.90408691857,-2.30745533080778e-06,0.057385380324766984,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.64,0.0,0.0,0.0,0.0,97.8693256275727,-2.32513013820324e-06,0.059502570231280916,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.65,0.0,0.0,0.0,0.0,94.6610902557148,-2.32877061101533e-06,0.06186872522007178,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.66,0.0,0.0,0.0,0.0,91.6720007034017,-2.60278273778169e-06,0.06392266920897924,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.67,0.0,0.0,0.0,0.0,88.9353203745558,-2.69880048797688e-06,0.06564437477732224,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.68,0.0,0.0,0.0,0.0,86.3872188599779,-2.69816117359767e-06,0.06713697738159677,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.69,0.0,0.0,0.0,0.0,83.9722974644973,-2.67754098892681e-06,0.06847763148420596,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.7,0.0,0.0,0.0,0.0,81.3401647945865,-2.64907990832342e-06,0.07007030329846153,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.71,0.0,0.0,0.0,0.0,78.9073229162021,-2.90569561123277e-06,0.07143092849506406,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,0.72,0.0,0.0,0.0,0.0,76.7103169774635,-2.97651735259308e-06,0.07254054575824859,0.0,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
