record_type,contrast_id,priority,target,comparator,path_id,metric,target_value,comparator_value,effect_comparator_minus_target,relative_effect_pct,target_to_comparator_ratio,positive_favors_target,estimate,bootstrap_mean,ci95_low,ci95_high,iterations,random_seed,n_paths,controller_id,mean_theta_sched_mae_deg
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p01_factory_logistics_showcase,ey_rmse,0.0044092234510659,6.860239278175246,6.855830054724181,99.93572784749516,0.0006427215250484,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p02_sharp_turn_transition,ey_rmse,0.0203804178463,1.2696829570530817,1.2493025392067816,98.39484197743326,0.0160515802256673,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p03_long_updown,ey_rmse,0.0360719628495244,0.7001758044341911,0.6641038415846666,94.84815633144105,0.0515184366855893,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p04_soft_updown_straight_turn,ey_rmse,0.0030268221201903,0.0031655133299739,0.0001386912097835,4.381318141052815,0.956186818589472,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p05_factory_flat_logistics,ey_rmse,0.0059530234877096,0.0059530234877096,0.0,0.0,1.0,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p06_downhill_after_turn,ey_rmse,0.005038935300525,0.043566150634146,0.038527215333621,88.43382941302228,0.1156617058697772,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p01_factory_logistics_showcase,epsi_rmse,0.0064854797129746,1.4852956097133874,1.4788101300004128,99.56335427974328,0.0043664572025673,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p02_sharp_turn_transition,epsi_rmse,0.0181861519088102,0.2197445428771021,0.2015583909682919,91.7239574322529,0.082760425677471,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p03_long_updown,epsi_rmse,0.0226603874234492,0.1845487843117201,0.1618883968882709,87.7211938794602,0.1227880612053979,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p04_soft_updown_straight_turn,epsi_rmse,0.0071139231764985,0.0075050696575375,0.000391146481039,5.211763499706187,0.947882365002938,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p05_factory_flat_logistics,epsi_rmse,0.0076132914908095,0.0076132914908095,0.0,0.0,1.0,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p06_downhill_after_turn,epsi_rmse,0.0062966542211829,0.1475434416880615,0.1412467874668786,95.73233879517636,0.0426766120482361,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p01_factory_logistics_showcase,j_du,0.0294419177010728,1931.3989856239816,1931.3695437062809,99.99847561700508,1.5243829949284644e-05,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p02_sharp_turn_transition,j_du,0.4338855502985799,1543.6733209609306,1543.239435410632,99.97189265731248,0.0002810734268753,True,,,,,,,,,
route_effect,A3_ORACLE_VS_ZS,primary,Oracle_LPV_MPC,ZS_LPV_MPC,p03_long_updown,j_du,1.1513094740153067,700.5287606764912,699.3774512024759,99.8356513624218,0.001643486375782,True,,,,,,,,,
