record_type,route_id,route_condition,model_seed,sample_index,debug_step,t_s,theta_true_deg,theta_sched_fusion_lpv_mpc_deg,theta_sched_mtcn_lpv_mpc_deg,theta_mtcn_deg,theta_imu_deg,theta_fused_deg,variance_imu_rad2,imu_valid,K_imu_eff,fallback_exact,imu_uncertainty_halfwidth_deg,local_fusion_effect_deg
trace,P2,Sharp-turn transition,7,35,35.0,0.35,0.0,0.0,0.0,0.0,-0.23831609577381985,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,36,36.0,0.36,0.0,0.0,0.0,0.0,-0.3183160957738219,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,37,37.0,0.37,0.0,0.0,0.0,0.0,-0.39831609577381827,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,38,38.0,0.38,0.0,0.0,0.0,0.0,-0.47831609577382045,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,39,39.0,0.39,0.0,0.0,0.0,0.0,-0.5583160957738225,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,40,40.0,0.4,0.0,0.0,0.0,0.0,-0.6383160957738245,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,41,41.0,0.41,0.0,0.0,0.0,0.0,-0.7183160957738209,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,42,42.0,0.42,0.0,0.0,0.0,0.0,-0.798316095773823,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,43,43.0,0.43,0.0,0.0,0.0,0.0,-0.8783160957738251,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,44,44.0,0.44,0.0,0.0,0.0,0.0,-0.9583160957738214,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,45,45.0,0.45,0.0,0.0,0.0,0.0,-1.0383160957738236,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,46,46.0,0.46,0.0,0.0,0.0,0.0,-1.1183160957738256,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,47,47.0,0.47,0.0,0.0,0.0,0.0,-1.198316095773822,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,48,48.0,0.48,0.0,0.0,0.0,0.0,-1.2783160957738242,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,49,49.0,0.49,0.0,0.0,0.0,0.0,-1.358316095773826,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,50,50.0,0.5,0.0,0.0,0.0,0.0,-1.4383160957738226,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,51,51.0,0.51,0.0,0.0,0.0,0.0,-1.5183160957738244,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,52,52.0,0.52,0.0,0.0,0.0,0.0,-1.598316095773821,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,53,53.0,0.53,0.0,0.0,0.0,0.0,-1.678316095773823,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,54,54.0,0.54,0.0,0.0,0.0,0.0,-1.758316095773825,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,55,55.0,0.55,0.0,0.0,0.0,0.0,-1.8383160957738216,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,56,56.0,0.56,0.0,0.0,0.0,0.0,-1.9183160957738237,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,57,57.0,0.57,0.0,0.0,0.0,0.0,-1.9983160957738255,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,58,58.0,0.58,0.0,0.0,0.0,0.0,-2.0783160957738223,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
