t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0.29,0,0,-0.339275236400461,0,0.178650291007266,0.0707497089927336,0,0.2494,0,339.791127510369,2.73129581884746e-05,-660,660,-1.32,1.32,0,0,0,0,0.0070731
0.3,0,0,-0.324972419034527,0,0.181971529106797,0.0760284708932033,0,0.258,0,327.268586941063,2.40373686537509e-05,-660,660,-1.32,1.32,0,0,0,0,0.0071252
0.31,0,0,-0.311247066238093,0,0.185152626358162,0.0814473736418383,0,0.2666,0,315.144491650164,2.11379823653601e-05,-660,660,-1.32,1.32,0,0,0,0,0.0076409
0.32,0,0,-0.298080807466322,0,0.188199265554649,0.0870007344453513,0,0.2752,0,303.427485398948,1.85710726938737e-05,-660,660,-1.32,1.32,0,0,0,0,0.0072536
0.33,0,0,-0.285454873372597,0,0.191116943790037,0.0926830562099627,0,0.2838,0,292.121062137187,1.62976083331046e-05,-660,660,-1.32,1.32,0,0,0,0,0.0069944
0.34,0,0,-0.273350333257776,0,0.193910969657832,0.0984890303421676,0,0.2924,0,281.224660344422,1.42829003593192e-05,-660,660,-1.32,1.32,0,0,0,0,0.0072634
0.35,0,0,-0.261748282067548,0,0.196586462572731,0.104413537427269,0,0.301,0,270.734555669129,1.24962237393333e-05,-660,660,-1.32,1.32,0,0,0,0,0.0073658
0.36,0,0,-0.250629986236215,0,0.199148353756293,0.110451646243707,0,0.3096,0,260.644586592913,1.09104364511836e-05,-660,660,-1.32,1.32,0,0,0,0,0.0070289
0.37,0,0,-0.239976996074366,0,0.201601388513771,0.116598611486228,0,0.3182,0,250.946742363274,9.50161389567938e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069339
0.38,0,0,-0.229771231049903,0,0.203950129499282,0.122849870500718,0,0.3268,0,241.63163728267,8.24869987781085e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069971
0.39,0,0,-0.219995043201483,0,0.206198960724449,0.129201039275551,0,0.3354,0,232.688891939819,7.1331860951318e-06,-660,660,-1.32,1.32,0,0,0,0,0.0076078
0.4,0,0,-0.210631262974441,0,0.208352092113292,0.135647907886708,0,0.344,0,224.107437983155,6.13881680777695e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072137
0.41,0,0,-0.201663231004085,0,0.210413564445218,0.142186435554782,0,0.3526,0,215.875761784613,5.25132455919675e-06,-660,660,-1.32,1.32,0,0,0,0,0.0074016
0.42,0,0,-0.19307481866365,0,0.212387254559656,0.148812745440344,0,0.3612,0,207.982096835971,4.45819005534531e-06,-660,660,-1.32,1.32,0,0,0,0,0.0074227
0.43,0,0,-0.184850439740535,0,0.214276880721825,0.155523119278175,0,0.3698,0,200.414575845003,3.74843013872805e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072964
0.44,0,0,-0.176975055098813,0,0.216086008070188,0.162313991929812,0,0.3784,0,193.161349587142,3.11240928141387e-06,-660,660,-1.32,1.32,0,0,0,0,0.0073646
0.45,0,0,-0.169434171860775,0,0.21781805408313,0.16918194591687,0,0.387,0,186.210678890347,2.54167208169065e-06,-660,660,-1.32,1.32,0,0,0,0,0.0071065
0.46,0,0,-0.162213838346208,0,0.219476294016234,0.176123705983766,0,0.3956,0,179.55100543797,2.02879733279815e-06,-660,660,-1.32,1.32,0,0,0,0,0.0075551
0.47,0,0,-0.155300635746066,0,0.221063866272632,0.183136133727368,0,0.4042,0,173.171004861593,1.56726857625245e-06,-660,660,-1.32,1.32,0,0,0,0,0.0068371
0.48,0,0,-0.1486816673471,0,0.222583777677835,0.190216222322164,0,0.4128,0,167.059626489878,1.15136078449041e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072097
0.49,0,0,-0.142344545922757,0,0.224038908637652,0.197361091362348,0,0.4214,0,161.206121481955,7.76042178074476e-07,-660,660,-1.32,1.32,0,0,0,0,0.0070242
0.5,0,0,-0.136277379825928,0,0.225432018163515,0.204567981836485,0,0.43,0,155.600062422454,4.3688617523685e-07,-660,660,-1.32,1.32,0,0,0,0,0.0071732
0.51,0,0,-0.130468758177293,0,0.226765748754223,0.211834251245777,0,0.4386,0,150.231355860829,1.29997147269023e-07,-660,660,-1.32,1.32,0,0,0,0,0.0069123
0.52,0,0,-0.124907735474635,0,0.228042631126664,0.219157368873336,0,0.4472,0,145.090249292552,-1.48056983562128e-07,-660,660,-1.32,1.32,0,0,0,0,0.0068718
0.53,0,0,-0.119583815879448,0,0.22926508879102,0.22653491120898,0,0.4558,0,140.167333759367,-4.00301658487479e-07,-660,660,-1.32,1.32,0,0,0,0,0.0070492
