candidate_id,Kmax,p_help_threshold,slope_entry_deg,slope_exit_deg,innovation_min_deg,innovation_max_deg,quality_intercept,quality_slope,quality_floor,correction_limit_deg,correction_rate_limit_deg_s,sample_count,baseline_mae_deg,fused_mae_deg,mae_ratio,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,gate_fraction,nonfinite_count,fallback_identity_max_abs,fold_mae_ratios,worst_fold_mae_ratio,near_flat_baseline_mae_deg,near_flat_fused_mae_deg,near_flat_mae_ratio,near_flat_mae_delta_deg,slope_baseline_mae_deg,slope_fused_mae_deg,slope_mae_ratio,slope_mae_delta_deg,transition_baseline_mae_deg,transition_fused_mae_deg,transition_mae_ratio,transition_mae_delta_deg,K_raw_p95_p05,K_eff_p95_p05,cap_fraction,acceptance_failures,development_accepted
V7C01,0.7,0.6,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8040916980775652,0.9416606263973053,0.23812976987631218,0.7488711833366662,0.044661495335627806,0.7585908944705986,0.24140910552940145,0,0.0,"[0.9388779182826671, 0.9510290793890374, 0.9355265048519469]",0.9510290793890374,0.6872141643299762,0.648585475343272,0.9437894458645704,-0.03862868898670413,0.8545848387841777,0.8018989436293863,0.9383491342653025,-0.052685895154791385,0.9131007671493416,0.8889162011422396,0.9735138038678851,-0.02418456600710206,0.40573500177762545,0.3914445571894555,0.41234676635811573,[],True
V7C02,0.7,0.6,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8148480206465548,0.954257206454359,0.1692104614587728,0.7544830872078958,0.043283022035262346,0.8285449031508858,0.17145509684911422,0,0.0,"[0.9512066095883501, 0.9618170724284666, 0.9497923515925961]",0.9618170724284666,0.6872141643299762,0.6539197790078258,0.9515516602388254,-0.033294385322150344,0.8545848387841777,0.8134355271349234,0.951848769388657,-0.04114931164925428,0.9131007671493416,0.8936489811212877,0.9786969995778434,-0.019451786028053974,0.418300526182651,0.38926501817130077,0.4088424576350677,[],True
V7C03,0.7,0.6,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8048634561078581,0.9425644215141685,0.23422907102546858,0.7496245951691373,0.043546960380077326,0.7634454641530872,0.23655453584691283,0,0.0,"[0.9402217107635541, 0.9523353304537225, 0.935829663381434]",0.9523353304537225,0.6872141643299762,0.6609365350850925,0.9617620959973898,-0.026277629244883638,0.8545848387841777,0.8021444509800438,0.9386364168609157,-0.05244038780413385,0.9131007671493416,0.8906002052504254,0.9753580736010529,-0.02250056189891625,0.4014160268164173,0.39115946846683325,0.40562780882755456,[],True
V7C04,0.7,0.6,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8154673968816912,0.954982549366055,0.16642445685546362,0.7552123009423745,0.042243074633196834,0.8320276699819962,0.16797233001800388,0,0.0,"[0.9522479414061568, 0.9628823605956617, 0.9500438899341805]",0.9628823605956617,0.6872141643299762,0.6641470113963374,0.966433822044211,-0.023067152933638813,0.8545848387841777,0.813660095067089,0.9521115495387065,-0.04092474371708865,0.9131007671493416,0.8945866186143203,0.9797238714486883,-0.018514148535021313,0.4017196383794064,0.3889316436111642,0.40208746773303095,[],True
V7C05,0.7,0.6,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8056819548675409,0.9435229540504341,0.23148275012218403,0.7483639460907492,0.04358539646505887,0.766796648189379,0.23320335181062102,0,0.0,"[0.9423983059991675, 0.9533082852844439, 0.9360422866745461]",0.9533082852844439,0.6872141643299762,0.6692097315526724,0.9738008415544551,-0.01800443277730379,0.8545848387841777,0.8025929413910468,0.9391612218780993,-0.051991897393130926,0.9131007671493416,0.8923331916209951,0.977255987208091,-0.020767575528346516,0.4012881568559383,0.3905741578567822,0.4012825277978048,[],True
V7C06,0.7,0.6,1.0,0.6,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8161801392728163,0.9558172320870573,0.16431035995204538,0.7534559136641265,0.042403981212541075,0.8346311295651919,0.16536887043480802,0,0.0,"[0.9542369232446936, 0.9636739748035199, 0.9502190125796619]",0.9636739748035199,0.6872141643299762,0.670978538380662,0.9763747216049546,-0.01623562594931416,0.8545848387841777,0.8140938392424825,0.9526190991179975,-0.040490999541695216,0.9131007671493416,0.8957910015203039,0.9810428747277499,-0.017309765629037743,0.4013141877847757,0.3880736228588422,0.3970140054536522,[],True
V7C07,0.7,0.65,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8096659515354079,0.948188557248176,0.2067823620573701,0.7498325833674226,0.03979718093622007,0.7904675575309219,0.20953244246907804,0,0.0,"[0.945499246984477, 0.955970265054089, 0.9433210715827389]",0.955970265054089,0.6872141643299762,0.6536983875373213,0.9512295023410464,-0.03351577679265483,0.8545848387841777,0.8078727226888058,0.9453394046144916,-0.04671211609537185,0.9131007671493416,0.8904856060693254,0.9752325680870692,-0.022615161080016266,0.4171383550919602,0.3935797817931269,0.43406179351921625,[],True
V7C08,0.7,0.65,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.818788185766644,0.9588714791349034,0.15028593150175654,0.7539316348596619,0.03991950502259752,0.8478520675207712,0.15214793247922873,0,0.0,"[0.9562237846287394, 0.9655418437636499, 0.9549054738779855]",0.9655418437636499,0.6872141643299762,0.658032427178438,0.9575361820721638,-0.029181737151538156,0.8545848387841777,0.8176454933010574,0.9567750984961609,-0.03693934548312028,0.9131007671493416,0.8946921827832669,0.9798394820940239,-0.01840858436607473,0.43911052452829724,0.391708134040247,0.4328291210397783,[],True
V7C09,0.7,0.65,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8103488572337437,0.948988298632402,0.20344830467056263,0.7506359834182338,0.038857098273040666,0.7946700613635319,0.20532993863646806,0,0.0,"[0.9466935535937627, 0.9571335024498944, 0.9435800311785557]",0.9571335024498944,0.6872141643299762,0.6640213712747329,0.9662509967648064,-0.023192793055243244,0.8545848387841777,0.8080970282697953,0.9456018777719942,-0.04648781051438233,0.9131007671493416,0.892142701504338,0.9770473682653518,-0.020958065645003576,0.401660347097074,0.39332214402993165,0.42726461741588523,[],True
V7C10,0.7,0.65,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8193419976080079,0.9595200404951212,0.14787002961657192,0.7546388956765789,0.03911969389009027,0.8508820224484425,0.14911797755155748,0,0.0,"[0.9571593330219804, 0.9665003909865117, 0.955122682228466]",0.9665003909865117,0.6872141643299762,0.6666101704174667,0.9700180890005403,-0.020603993912509444,0.8545848387841777,0.8178533071386636,0.9570182736944266,-0.036731531645514126,0.9131007671493416,0.8956824200450081,0.980923959620894,-0.017418347104333542,0.40279741221910875,0.3913038026555857,0.42603465759794723,[],True
V7C11,0.7,0.65,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8111048726851057,0.9498736578335946,0.2009852000685066,0.749298807322956,0.038953994070388416,0.7976812187490863,0.20231878125091377,0,0.0,"[0.9487617492275029, 0.958006093670911, 0.9437633742240966]",0.958006093670911,0.6872141643299762,0.6712423704522468,0.9767586369624647,-0.0159717938777294,0.8545848387841777,0.8085316157799192,0.9461104141868715,-0.046053223004258514,0.9131007671493416,0.893697489299922,0.9787501242497082,-0.019403277849419642,0.40132064502786907,0.3927784984460537,0.42268709596830306,[],True
V7C12,0.7,0.65,1.0,0.6,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8200066941110354,0.9602984573434751,0.14593221188589475,0.7528077022712082,0.03933144698104917,0.8532500950320184,0.14674990496798151,0,0.0,"[0.9590628455645855, 0.9672151366744125, 0.9552763110485016]",0.9672151366744125,0.6872141643299762,0.6726575622728581,0.9788179539760934,-0.014556602057118062,0.8545848387841777,0.8182762788633218,0.9575132177953072,-0.03630855992085591,0.9131007671493416,0.8967407203669352,0.9820829777271114,-0.016360046782406434,0.4013777704646053,0.3904437728496233,0.4207122504689604,[],True
V7C13,0.9,0.6,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8028487993212607,0.9402050849158943,0.23813436483105188,0.7466447514984818,0.0458087240846412,0.7585908944705986,0.24140910552940145,0,0.0,"[0.9376166445159734, 0.9495107185461917, 0.934006290751564]",0.9495107185461917,0.6872141643299762,0.6473123820871225,0.9419369036408652,-0.03990178224285368,0.8545848387841777,0.8006108227699658,0.9368418282601397,-0.05397401601421192,0.9131007671493416,0.8881593811220598,0.9726849577564723,-0.024941386027281798,0.40573500177762545,0.5191298244648268,0.023285370810489057,[],True
