candidate_id,Kmax,p_help_threshold,slope_entry_deg,slope_exit_deg,innovation_min_deg,innovation_max_deg,quality_intercept,quality_slope,quality_floor,correction_limit_deg,correction_rate_limit_deg_s,sample_count,baseline_mae_deg,fused_mae_deg,mae_ratio,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,gate_fraction,nonfinite_count,fallback_identity_max_abs,fold_mae_ratios,worst_fold_mae_ratio,near_flat_baseline_mae_deg,near_flat_fused_mae_deg,near_flat_mae_ratio,near_flat_mae_delta_deg,slope_baseline_mae_deg,slope_fused_mae_deg,slope_mae_ratio,slope_mae_delta_deg,transition_baseline_mae_deg,transition_fused_mae_deg,transition_mae_ratio,transition_mae_delta_deg,K_raw_p95_p05,K_eff_p95_p05,cap_fraction,acceptance_failures,development_accepted,fold,fit_run_count,held_run_count,covariance_psd,gate_model_sha256
V7C01,0.7,0.6,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7773229112365754,0.9388779182826671,0.24590580066162263,0.7433119110252738,0.06052745496320469,0.7513543611411352,0.24864563885886476,0,0.0,[],,0.76242567137355,0.7198380455867589,0.9441419309634902,-0.042587625786791095,0.8325982963075129,0.7813557681788018,0.9384546805392632,-0.05124252812871111,0.8125764415626815,0.7644809925067809,0.9408111697609554,-0.048095449055900574,0.401897360508919,0.3728473965733362,0.39416313196511843,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C02,0.7,0.6,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7875301746420241,0.9512066095883501,0.17442763093249483,0.7596728914927378,0.06187270559295459,0.8237881169958403,0.17621188300415971,0,0.0,[],,0.76242567137355,0.7251975667908279,0.9511714964743334,-0.03722810458272208,0.8325982963075129,0.7920076668993082,0.9512482434948283,-0.04059062940820468,0.8125764415626815,0.7726099423063789,0.9508150898647243,-0.03996649925630258,0.40193422173804805,0.3714052665146116,0.40200374540537276,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C03,0.7,0.6,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.778435474076749,0.9402217107635541,0.24128918148766826,0.742282945105066,0.06072853884997557,0.7569617765549769,0.2430382234450231,0,0.0,[],,0.76242567137355,0.7314992782100527,0.9594368417477578,-0.030926393163497323,0.8325982963075129,0.7816361288622699,0.9387914103700968,-0.05096216744524307,0.8125764415626815,0.7688275432963347,0.9461602674793126,-0.04374889826634676,0.40188980718345324,0.37258380732062735,0.3847975795800652,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C04,0.7,0.6,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7883923219610934,0.9522479414061568,0.17151174216370246,0.7584229698697107,0.06238034536921659,0.8273353313026105,0.17266466869738953,0,0.0,[],,0.76242567137355,0.7344314683532817,0.9632827119136278,-0.027994203020268338,0.8325982963075129,0.7922791641659174,0.9515743278356361,-0.04031913214159555,0.8125764415626815,0.775374003399682,0.954216691181134,-0.03720243816299951,0.40190207669262534,0.3712198975463211,0.3932326369952339,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C05,0.7,0.6,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7802375372760044,0.9423983059991675,0.23582342537093445,0.738983392188113,0.06137563932957635,0.763168582751957,0.23683141724804296,0,0.0,[],,0.76242567137355,0.7404732288131045,0.9712071046599244,-0.021952442560445484,0.8325982963075129,0.7829631656147162,0.9403852603195042,-0.04963513069279668,0.8125764415626815,0.7719640672819466,0.9500202415385899,-0.04061237428073494,0.3844910900153127,0.3709377746597943,0.37384347296942205,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C06,0.7,0.6,1.0,0.6,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.790039054856842,0.9542369232446936,0.16718499230290523,0.7535570325165424,0.0636812898865178,0.8323040516196653,0.16769594838033475,0,0.0,[],,0.76242567137355,0.7417859639109136,0.9729288923004744,-0.020639707462636436,0.8325982963075129,0.7935984604394719,0.9531588810102047,-0.03899983586804101,0.8125764415626815,0.7776008688923599,0.9569571908791014,-0.034975572670321586,0.40188848634984353,0.36861554600724644,0.37956610692539444,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C07,0.7,0.65,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7828048918035052,0.945499246984477,0.21494710294454816,0.7443371860023924,0.05727956358427745,0.7825996528118961,0.2174003471881039,0,0.0,[],,0.76242567137355,0.7244375733142737,0.950174686549,-0.037988098059276276,0.8325982963075129,0.7871136074934959,0.9453701875012994,-0.045484688814017016,0.8125764415626815,0.7677288046109331,0.9448081009270942,-0.044847636951748426,0.40192634687247414,0.3758089883066903,0.41953988353961236,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C08,0.7,0.65,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7916840321698616,0.9562237846287394,0.15533392289803805,0.7565102793885081,0.06098576700052715,0.8430988175952311,0.1569011824047689,0,0.0,[],,0.76242567137355,0.7287681447849939,0.955854678229918,-0.03365752658855614,0.8325982963075129,0.7963555404636753,0.9564702978560363,-0.036242755843837626,0.8125764415626815,0.7751758616571286,0.9539728473623637,-0.0374005799055529,0.40214464677091,0.3742729586040593,0.42978592378427466,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C09,0.7,0.65,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7837936911696008,0.9466935535937627,0.2109626281484393,0.7434442391591237,0.05755406853079539,0.7875020470996692,0.2124979529003308,0,0.0,[],,0.76242567137355,0.7344494347522773,0.9633062767012134,-0.027976236621272688,0.8325982963075129,0.7873699729395779,0.9456780976270094,-0.04522832336793503,0.8125764415626815,0.7716799082622543,0.9496705402610759,-0.040896533300427196,0.40189605304488,0.3757063639264985,0.41031786706536527,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C10,0.7,0.65,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7924585984755289,0.9571593330219804,0.15275539615472797,0.7553430429212387,0.061602457236895,0.8462292424093544,0.15377075759064557,0,0.0,[],,0.76242567137355,0.7369455434828599,0.9665801810623896,-0.025480127890690096,0.8325982963075129,0.7966043563647704,0.9567691405298667,-0.03599393994274247,0.8125764415626815,0.7776651668265299,0.9570363193535206,-0.03491127473615163,0.4019580828273025,0.37402749089274323,0.4214312719991906,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
