sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2462,24.62,5.18043162037037,5.282811609230122,3.9770961513576824,0.1023799888597523,1.2033354690126874,1.100955480152935,0,1,0,1,0
2463,24.63,5.170447430555555,5.284935796513332,3.973569459593314,0.11448836595777667,1.196877970962241,1.0823896050044644,0,1,0,1,0
2464,24.64,5.16046324074074,5.287059983796542,3.970042767828945,0.12659674305580193,1.190420472911795,1.0638237298559932,0,1,0,1,0
2465,24.65,5.150479050925926,5.289184171079757,3.9665160760645763,0.13870512015383074,1.18396297486135,1.0452578547075193,0,1,0,1,0
2466,24.66,5.139796388888889,5.290890811214389,3.962429641933864,0.1510944223255004,1.1773667469550246,1.0262723246295242,0,1,0,1,0
2467,24.67,5.129113726851852,5.292597451349019,3.958343207803152,0.16348372449716742,1.1707705190486997,1.0072867945515322,0,1,0,1,0
2468,24.68,5.118431064814814,5.2943040914836565,3.9542567736724394,0.1758730266688424,1.1641742911423747,0.9883012644735323,0,1,0,1,0
2469,24.69,5.107748402777778,5.2960107316182885,3.950170339541728,0.1882623288405103,1.1575780632360502,0.9693157343955399,0,1,0,1,0
2470,24.7,5.0970657407407405,5.2977173717529205,3.9460839054110153,0.20065163101217998,1.1509818353297252,0.9503302043175452,0,1,0,1,0
2471,24.71,5.085699467592592,5.299096371573808,3.941433233679664,0.21339690398121558,1.1442662339129281,0.9308693299317126,0,1,0,1,0
2472,24.72,5.074333194444446,5.300475371394695,3.936782561948313,0.2261421769502494,1.1375506324961324,0.911408455545883,0,1,0,1,0
2473,24.73,5.062966921296297,5.301854371215583,3.9321318902169677,0.2388874499192859,1.1308350310793296,0.8919475811600437,0,1,0,1,0
2474,24.74,5.051600648148144,5.303233371036465,3.9274812184856174,0.2516327228883215,1.1241194296625263,0.8724867067742048,0,1,0,1,0
2475,24.75,5.040234375000002,5.3046123708573525,3.9228305467542666,0.2643779958573509,1.117403828245735,0.8530258323883841,0,1,0,1,0
2476,24.76,5.028199351851849,5.305682551908443,3.917545565839015,0.27748320005659455,1.110653786012834,0.8331705859562395,0,1,0,1,0
2477,24.77,5.016164328703702,5.306752732959529,3.912260584923763,0.29058840425582666,1.1039037437799393,0.8133153395241126,0,1,0,1,0
2478,24.78,5.004129305555555,5.3078229140106155,3.906975604008506,0.30369360845506055,1.097153701547049,0.7934600930919884,0,1,0,1,0
2479,24.79,4.9920942824074075,5.308893095061707,3.901690623093255,0.31679881265429977,1.0904036593141524,0.7736048466598526,0,1,0,1,0
2480,24.8,4.98005925925926,5.309963276112793,3.8964056421780033,0.32990401685353277,1.0836536170812567,0.753749600227724,0,1,0,1,0
2481,24.81,4.96737034722222,5.310574381356907,3.890494072452194,0.34320403413468714,1.0768762747700258,0.7336722406353386,0,1,0,1,0
2482,24.82,4.954681435185186,5.3111854866010155,3.88458250272639,0.35650405141582997,1.0700989324587957,0.7135948810429658,0,1,0,1,0
2483,24.83,4.941992523148144,5.31179659184513,3.8786709330005795,0.3698040686969861,1.0633215901475648,0.6935175214505787,0,1,0,1,0
2484,24.84,4.929303611111109,5.312407697089244,3.8727593632747697,0.38310408597813517,1.0565442478363396,0.6734401618582044,0,1,0,1,0
2485,24.85,4.916614699074074,5.313018802333353,3.8668477935489656,0.3964041032592789,1.0497669055251087,0.6533628022658298,0,1,0,1,0
2486,24.86,4.903286759259258,5.3131756537347705,3.860303713850285,0.4098888944755128,1.0429830454089726,0.6330941509334598,0,1,0,1,0
2487,24.87,4.88995881944444,5.313332505136188,3.853759634151598,0.4233736856917476,1.0361991852928423,0.6128254996010947,0,1,0,1,0
2488,24.88,4.876630879629629,5.313489356537605,3.847215554452923,0.4368584769079762,1.0294153251767062,0.59255684826873,0,1,0,1,0
