record_type,contrast_id,contrast_label,target,comparator,metric,metric_label,original_unit,display_unit,path_id,path_label,target_value_original,comparator_value_original,effect_original,effect_display,mean_estimate_display,bootstrap_mean_display,ci95_low_display,ci95_high_display,n_paths,bootstrap_iterations,bootstrap_random_seed,positive_favors_target
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p01_factory_logistics_showcase,P1,0.0294419177,1931.398986,1931.369544,1931.369544,,,,,,,,True
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p02_sharp_turn_transition,P2,0.4338855503,1543.673321,1543.239435,1543.239435,,,,,,,,True
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p03_long_updown,P3,1.151309474,700.5287607,699.3774512,699.3774512,,,,,,,,True
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p04_soft_updown_straight_turn,P4,0.5905737249,0.2992764992,-0.2912972257,-0.2912972257,,,,,,,,True
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p05_factory_flat_logistics,P5,0.0188101263,0.0188101263,0,0,,,,,,,,True
route_effect,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p06_downhill_after_turn,P6,0.3369959431,0.1644748851,-0.172521058,-0.172521058,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p01_factory_logistics_showcase,P1,2895.57773,1931.398986,-964.1787448,-964.1787448,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p02_sharp_turn_transition,P2,664.7323073,1543.673321,878.9410137,878.9410137,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p03_long_updown,P3,658.6195056,700.5287607,41.90925508,41.90925508,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p04_soft_updown_straight_turn,P4,0.3244333858,0.2992764992,-0.02515688658,-0.02515688658,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p05_factory_flat_logistics,P5,0.01769178333,0.0188101263,0.001118342964,0.001118342964,,,,,,,,True
route_effect,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,p06_downhill_after_turn,P6,0.1601627857,0.1644748851,0.004312099364,0.004312099364,,,,,,,,True
bootstrap_summary,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,ey_rmse,Lateral error RMS,m,m,,,,,1.467983724,1.467983724,1.467983724,1.472920366,0.1171514066,3.746816091,6,10000,20260715,True
bootstrap_summary,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,ey_rmse,Lateral error RMS,m,m,,,,,0.06906284406,0.06906284406,0.06906284406,0.06950564758,0.006631593344,0.1780996204,6,10000,20260715,True
bootstrap_summary,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,epsi_rmse,Heading error RMS,rad,deg,,,,,0.330649142,18.94480033,18.94480033,18.98041851,2.902198128,45.83918592,6,10000,20260715,True
bootstrap_summary,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,epsi_rmse,Heading error RMS,rad,deg,,,,,-0.05611843463,-3.215349457,-3.215349457,-3.227110831,-11.36250074,1.433778046,6,10000,20260715,True
bootstrap_summary,A3_ORACLE_VS_ZS,Oracle vs ZS,Oracle_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,,,,,695.587102,695.587102,695.587102,698.0374945,116.4083024,1339.454253,6,10000,20260715,True
bootstrap_summary,A3_IMU_VS_ZS,IMU vs ZS,IMU_LPV_MPC,ZS_LPV_MPC,j_du,Input-increment index,index,index,,,,,-7.224700424,-7.224700424,-7.224700424,-6.598579067,-475.1041238,439.4677514,6,10000,20260715,True
