path_id,model_seed,sensor_seed,case_status,safety_status,theta_sched_mae_deg,ey_rmse,epsi_rmse,xy_rmse,j_du,omega_cmd_rms,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,safety_failure_count,case_metrics_path
p01_factory_logistics_showcase,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.3071118972132445,0.019657871597173884,0.024155759241565596,1.2445458369423756,0.08822133964626346,0.037499685617008074,0.5073224310471076,0.6485446235265817,0.35145537647341835,0.4926775689528924,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p01_factory_logistics_showcase\attempts\20260801_220943_660\case_metrics.json
p02_sharp_turn_transition,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.4480398780285844,0.018888320542009018,0.0293268513678773,0.34858679153281175,0.6020664702353737,0.07828806780163924,0.49346153846153845,0.9766173031956352,0.02338269680436477,0.5065384615384615,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p02_sharp_turn_transition\attempts\20260801_222028_667\case_metrics.json
p03_long_updown,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.8306306200098977,0.053001013627723366,0.025929451298134953,0.44114529712939005,1.655013603543419,0.053088819187804774,0.48522727272727273,0.9517564402810305,0.048243559718969556,0.5147727272727273,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p03_long_updown\attempts\20260801_222303_538\case_metrics.json
p04_soft_updown_straight_turn,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.016472772012780336,0.003421097028164023,0.007842720798967726,0.27619081328931006,0.2996742662823607,0.03349766916715069,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p04_soft_updown_straight_turn\attempts\20260801_222525_937\case_metrics.json
p05_factory_flat_logistics,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0,0.004395999447469037,0.00792214027875236,0.23737979793142405,0.01879969306177754,0.040779170605563436,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p05_factory_flat_logistics\attempts\20260801_222834_024\case_metrics.json
p06_downhill_after_turn,11,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.4524361674458233,0.014534684882955555,0.011706435309809391,0.11731313898369225,0.529093581891739,0.06942422866494401,0.5071052631578947,1,0,0.4928947368421053,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p06_downhill_after_turn\attempts\20260801_223914_895\case_metrics.json
p01_factory_logistics_showcase,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.3532026771217583,0.017521663061033817,0.01139144337240583,0.4699589236636062,0.0870595344132399,0.0395490258932094,0.3330892522984297,0.6813629702002931,0.3186370297997069,0.6669107477015702,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p01_factory_logistics_showcase\attempts\20260801_224127_153\case_metrics.json
p02_sharp_turn_transition,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5997319815605529,0.025359201161707465,0.02698757863998019,0.2834506224288821,0.7702423261665763,0.082629193918473,0.4617307692307692,0.9566847147022074,0.043315285297792584,0.5382692307692307,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p02_sharp_turn_transition\attempts\20260801_225446_645\case_metrics.json
p03_long_updown,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,1.0466596801239199,0.023150315950506678,0.028395760160284042,0.46988603821678576,1.807422744731336,0.06093797983748986,0.5611363636363637,1,0,0.43886363636363634,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p03_long_updown\attempts\20260801_225647_630\case_metrics.json
p04_soft_updown_straight_turn,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.016472772012780336,0.0044615225629186985,0.007557122515411353,0.2760346868394877,0.3006556506312875,0.03330251566955319,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p04_soft_updown_straight_turn\attempts\20260801_225829_798\case_metrics.json
