path_id,model_seed,sensor_seed,case_status,safety_status,theta_sched_mae_deg,ey_rmse,epsi_rmse,xy_rmse,j_du,omega_cmd_rms,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,safety_failure_count,case_dir
p01_factory_logistics_showcase,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.345524161988206,0.03161679576257,0.050182382180107,1.95877548032438,0.566495113772585,0.0723530783360813,0.559759173378895,0.983938953488372,0.0160610465116279,0.440240826621105,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p01_factory_logistics_showcase\attempts\20260802_011239_892
p02_sharp_turn_transition,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.600232354127583,0.0314077517850778,0.0427852381782328,0.536933213116538,0.752092627285829,0.0742874323324094,0.605384615384615,0.980622617534943,0.0193773824650572,0.394615384615385,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p02_sharp_turn_transition
p03_long_updown,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.914936717515649,0.021045924090014,0.0377569904238757,0.62813574058254,1.73553844102332,0.0584041742987648,0.567272727272727,0.958333333333333,0.0416666666666667,0.432727272727273,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p03_long_updown
p04_soft_updown_straight_turn,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.0164727720127803,0.00623636469893023,0.00936582161338852,0.276118471266146,0.300898812374094,0.034041737067783,0,NaN,NaN,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p04_soft_updown_straight_turn
p05_factory_flat_logistics,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0,0.0161525586711059,0.0103787840849951,0.245928172716138,0.0234723849026217,0.0439522583708138,0,NaN,NaN,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p05_factory_flat_logistics
p06_downhill_after_turn,520,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.621215801654103,0.0120701313439875,0.0167926523008121,0.235521521381239,0.518109543306319,0.0684621570907158,0.677631578947368,0.991844660194175,0.00815533980582524,0.322368421052632,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p06_downhill_after_turn
