t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
57.39,0.00632812655496585,-0.0130422630922547,0.000948485133191901,0.000847455694066052,0.256470391002196,39.5997445737146,-23.8998079840752,39.841937810677,-23.9841850984514,29.6691595395216,0.0599158045904434,-643.539406986079,676.460593013921,-1.48014063606798,1.55585936393202,0,0,0,0,0.0261515
57.4,0.00685772697410883,-0.0152710965887141,0.00094855372624747,0.00286728059709801,0.256458567910167,39.6080962667528,-23.902610884477,39.850320019425,-23.9868643751817,29.7260638614073,0.0608766126649672,-643.439452412167,676.560547587833,-1.47991074054798,1.55608925945202,0,0,0,0,0.0259415
57.41,0.00672358949808059,-0.0147724739751202,0.000951245409830936,-0.00202349041784566,0.256446213159399,39.6164495688728,-23.905409029269,39.8587095644795,-23.989520590736,29.6950028765834,0.061461720006034,-643.439452412167,676.560547587833,-1.47991074054798,1.55608925945202,0,0,0,0,0.0256607
57.42,0.00659436747692561,-0.0141854428399092,0.000952505222598488,-0.000665907192187225,0.256433974170627,39.6248044499845,-23.9082025181856,39.8670991095341,-23.9921768062903,29.6750699558881,0.0610867362481687,-643.439452412167,676.560547587833,-1.47991074054798,1.55608925945202,0,0,0,0,0.0259451
57.43,0.00646995218918363,-0.0136272395145405,0.00095284616539526,-0.0042168018417452,0.256421856148352,39.6331608618447,-23.9109914499697,39.8754886545886,-23.9948330218446,29.6326694019492,0.0614013185447649,-643.439452412167,676.560547587833,-1.47991074054798,1.55608925945202,0,0,0,0,0.0253612
57.44,0.00635043473548347,-0.0130404779937803,0.000951232580967631,-0.000501674154820379,0.256409869431187,39.6415188170555,-23.9137757330312,39.883878199643,-23.9974892373989,29.6463059716746,0.0605170526703179,-643.439452412167,676.560547587833,-1.47991074054798,1.55608925945202,0,0,0,0,0.0261856
57.45,0.00688015889227055,-0.0152391713282577,0.000950247635328583,-0.00201260932543245,0.256398015602491,39.6498782997563,-23.9165553854453,39.8922677446976,-24.0001454529532,29.6489876653188,0.0607466000890301,-643.51326689944,676.48673310056,-1.48008051386871,1.55591948613129,0,0,0,0,0.026068
57.46,0.00674626498471519,-0.0146570000303805,0.000949386330980739,-0.00149584498646044,0.256385650689772,39.6582393411193,-23.9193303166597,39.9006645626127,-24.0027785872438,29.6581450621718,0.0607994835115707,-643.51326689944,676.48673310056,-1.48008051386871,1.55591948613129,0,0,0,0,0.026026
57.47,0.00661732576532524,-0.0140845326861672,0.000948947172347725,-0.00349574596964947,0.256373428577646,39.6666019358215,-23.9221005424924,39.9090613805278,-24.0054117215345,29.6427311201235,0.0609967879679491,-643.51326689944,676.48673310056,-1.48008051386871,1.55591948613129,0,0,0,0,0.0255173
57.48,0.00649338795205698,-0.0134896955654863,0.000947797495272962,0.00112673494225673,0.25636134586464,39.6749660944952,-23.9248660173112,39.9174581984429,-24.0080448558251,29.6759383103465,0.060059266583946,-643.51326689944,676.48673310056,-1.48008051386871,1.55591948613129,0,0,0,0,0.0249054
57.49,0.006374449366063,-0.01297302727636,0.000948178583298653,0.00191272742815317,0.256349393323109,39.6833318176662,-23.9276267435665,39.9258550163581,-24.0106779901158,29.7080079736309,0.0596857122361573,-643.51326689944,676.48673310056,-1.48008051386871,1.55591948613129,0,0,0,0,0.0254263
57.5,0.00690474422127778,-0.0152240670392475,0.000950037962296646,-0.00162805531299459,0.256337551510711,39.6916991283935,-23.9303826902904,39.9342518342732,-24.0133111244064,29.6880964802233,0.0604384925079532,-643.566061309936,676.433938690064,-1.48020194101285,1.55579805898715,0,0,0,0,0.0264915
57.51,0.00677152119177285,-0.0146513749964532,0.000950979444134914,-0.00336620020510621,0.256325172301761,39.7000679853746,-23.9331339828545,39.942655861548,-24.0159211575204,29.6536519844205,0.0608319846285187,-643.566061309936,676.433938690064,-1.48020194101285,1.55579805898715,0,0,0,0,0.026392
57.52,0.00664310611248196,-0.0140550651266244,0.000950333130547487,0.00144199112619177,0.256312926434471,39.7084383442467,-23.9358807074848,39.9510598888229,-24.0185311906344,29.6802358643738,0.0599774723348193,-643.566061309936,676.433938690064,-1.48020194101285,1.55579805898715,0,0,0,0,0.0254222
57.53,0.00651955444275247,-0.0135450536021328,0.000950912257867143,0.000567993017331979,0.256300811081547,39.7168102180451,-23.938622810152,39.9594639160977,-24.0211412237483,29.6945865657301,0.0599449500020884,-643.566061309936,676.433938690064,-1.48020194101285,1.55579805898715,0,0,0,0,0.0265472
57.54,0.00640093912498436,-0.0130182613362236,0.00095215288843209,0.00401277360389751,0.256288812619106,39.7251836358859,-23.9413602235307,39.9678679433726,-24.0237512568623,29.731234154676,0.0591776485914554,-643.566061309936,676.433938690064,-1.48020194101285,1.55579805898715,0,0,0,0,0.0264183
57.55,0.00693116927692401,-0.0152565610897241,0.000955082815113917,0.000824000911988358,0.256276913165151,39.7335585691373,-23.9440930643431,39.9762719706474,-24.0263612899763,29.7284813613053,0.0605125281870161,-643.531254467321,676.468745532679,-1.48012188527484,1.55587811472516,0,0,0,0,0.0265641
57.56,0.00679795808701771,-0.0147310513798148,0.000957885774675593,0.00361851343566429,0.256264458465176,39.7419350212906,-23.9468213385663,39.9846831437266,-24.0289482021752,29.7387281638923,0.0600556707738608,-643.531254467321,676.468745532679,-1.48012188527484,1.55587811472516,0,0,0,0,0.0257883
57.57,0.00666943679103847,-0.0142239221979072,0.000961161006643341,-0.0002290162761414,0.256252107383506,39.7503129538944,-23.9495451615666,39.9930943168058,-24.0315351143741,29.7048516081534,0.0605706982348667,-643.531254467321,676.468745532679,-1.48012188527484,1.55587811472516,0,0,0,0,0.0259961
57.58,0.00654561759511234,-0.0136775545287658,0.000962874565208383,9.18714695658032e-05,0.256239860311122,39.7586923631203,-23.9522645193848,40.0015054898849,-24.034122026573,29.6818858822928,0.0603375484049568,-643.531254467321,676.468745532679,-1.48012188527484,1.55587811472516,0,0,0,0,0.0253363
57.59,0.00642642624284039,-0.013138937582731,0.000963529440697886,0.00303101018767887,0.256227724555025,39.7670732111639,-23.9549794780591,40.0099166629641,-24.0367089387719,29.7012787673277,0.059636404520231,-643.531254467321,676.468745532679,-1.48012188527484,1.55587811472516,0,0,0,0,0.0259889
