sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
40,40.0,0.4,0.0,0.0,0.0,0.0425674522176581,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
41,41.0,0.41,0.0,0.0,0.0,0.072868330177469,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
42,42.0,0.42,0.0,0.0,0.0,0.0504028603108377,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
43,43.0,0.43,0.0,0.0,0.0,0.0682446792462929,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
44,44.0,0.44,0.0,0.0,0.0,0.0736340389735898,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
45,45.0,0.45,0.0,0.0,0.0,0.0298841180636429,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
46,46.0,0.46,0.0,0.0,0.0,0.10343500282563,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
47,47.0,0.47,0.0,0.0,0.0,0.0726612833486388,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
48,48.0,0.48,0.0,0.0,0.0,0.055008104920616,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
49,49.0,0.49,0.0,0.0,0.0,0.066012062188143,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
50,50.0,0.5,0.0,0.0,0.0,0.0439776895043568,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
51,51.0,0.51,0.0,0.0,0.0,0.0618093967890571,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
52,52.0,0.52,0.0,0.0,0.0,0.0552065305623239,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
53,53.0,0.53,0.0,0.0,0.0,0.0852247979724878,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
54,54.0,0.54,0.0,0.0,0.0,0.0523004043180095,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
55,55.0,0.55,0.0,0.0,0.0,0.0734722975982135,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
56,56.0,0.56,0.0,0.0,0.0,0.0566568530687433,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
57,57.0,0.57,0.0,0.0,0.0,0.0595908891709557,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
58,58.0,0.58,0.0,0.0,0.0,0.0216919200777915,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
59,59.0,0.59,0.0,0.0,0.0,0.0682742061165156,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
60,60.0,0.6,0.0,0.0,0.0,0.0673407701612935,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
61,61.0,0.61,0.0,0.0,0.0,0.0724303969547416,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
62,62.0,0.62,0.0,0.0,0.0,0.0555072842978094,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
63,63.0,0.63,0.0,0.0,0.0,0.0110427529882858,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
64,64.0,0.64,0.0,0.0,0.0,0.047345328325159,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
65,65.0,0.65,0.0,0.0,0.0,0.0245947942847433,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
66,66.0,0.66,0.0,0.0,0.0,0.0755359668997338,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
67,67.0,0.67,0.0,0.0,0.0,0.0676447218642852,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
68,68.0,0.68,0.0,0.0,0.0,0.0368438286765488,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
69,69.0,0.69,0.0,0.0,0.0,0.0852910922361437,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
70,70.0,0.7,0.0,0.0,0.0,0.0830896069490128,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
71,71.0,0.71,0.0,0.0,0.0,0.0738442316120494,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
72,72.0,0.72,0.0,0.0,0.0,0.0463424953148611,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
73,73.0,0.73,0.0,0.0,0.0,0.0326243003653291,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
74,74.0,0.74,0.0,0.0,0.0,0.0378684793436754,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
75,75.0,0.75,0.0,0.0,0.0,0.0660562537592335,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
76,76.0,0.76,0.0,0.0,0.0,0.0687341157150259,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
77,77.0,0.77,0.0,0.0,0.0,0.0602901597583214,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
78,78.0,0.78,0.0,0.0,0.0,0.0883275415632596,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
79,79.0,0.79,0.0,0.0,0.0,0.0679666976447045,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
80,80.0,0.8,0.0,0.0,0.0,0.0419131885914603,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
81,81.0,0.81,0.0,0.0,0.0,0.0061927783523607,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
82,82.0,0.82,0.0,0.0,0.0,0.0521019574980286,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
83,83.0,0.83,0.0,0.0,0.0,0.0754401382449583,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
84,84.0,0.84,0.0,0.0,0.0,0.0849445942238936,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
85,85.0,0.85,0.0,0.0,0.0,0.033504478893353,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
86,86.0,0.86,0.0,0.0,0.0,0.0364198761122922,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
87,87.0,0.87,0.0,0.0,0.0,0.0480879007109204,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
88,88.0,0.88,0.0,0.0,0.0,0.0261861320261158,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
89,89.0,0.89,0.0,0.0,0.0,0.0577852107129358,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
90,90.0,0.9,0.0,0.0,0.0,0.0303498157766204,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
91,91.0,0.91,0.0,0.0,0.0,0.060226594072595,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
92,92.0,0.92,0.0,0.0,0.0,0.0804967676009478,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
93,93.0,0.93,0.0,0.0,0.0,0.0788507293968735,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
94,94.0,0.94,0.0,0.0,0.0,0.0686148797282675,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
95,95.0,0.95,0.0,0.0,0.0,0.0627321545681677,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
96,96.0,0.96,0.0,0.0,0.0,0.101388669615756,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
97,97.0,0.97,0.0,0.0,0.0,0.0877031367040961,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
98,98.0,0.98,0.0,0.0,0.0,0.0702055379316814,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
