t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
0.42,0.0,0.0,0.1918969489143176,0.0,0.0,0.5,0.0,0.0,0.0034801787226715077,1,0,TCN_NOT_READY
0.43,0.0,0.0,0.1931948439147203,0.0,0.0,0.5,0.0,0.0,0.003527414300297102,1,0,TCN_NOT_READY
0.44,0.0,0.0,0.19348329046442703,0.0,0.0,0.5,0.0,0.0,0.0035379552652928157,1,0,TCN_NOT_READY
0.45,0.0,0.0,0.19262609692295027,0.0,0.0,0.5,0.0,0.0,0.003506676135732046,1,0,TCN_NOT_READY
0.46,0.0,0.0,0.1932598223544791,0.0,0.0,0.5,0.0,0.0,0.0035297874943026964,1,0,TCN_NOT_READY
0.47,0.0,0.0,0.19405447221896469,0.0,0.0,0.5,0.0,0.0,0.003558874883874503,1,0,TCN_NOT_READY
0.48,0.0,0.0,0.1947824335345091,0.0,0.0,0.5,0.0,0.0,0.003585625955721083,1,0,TCN_NOT_READY
0.49,0.0,0.0,0.19461928125962194,0.0,0.0,0.5,0.0,0.0,0.0035796217384215794,1,0,TCN_NOT_READY
0.5,0.0,0.0,0.19331678828366775,0.0,0.0,0.5,0.0,0.0,0.003531868705567066,1,0,TCN_NOT_READY
0.51,0.0,0.0,0.19308639182473572,0.0,0.0,0.5,0.0,0.0,0.003523455104808604,1,0,TCN_NOT_READY
0.52,0.0,0.0,0.19311470307612483,0.0,0.0,0.5,0.0,0.0,0.0035244884322787598,1,0,TCN_NOT_READY
0.53,0.0,0.0,0.19215546840238235,0.0,0.0,0.5,0.0,0.0,0.0034895618843234005,1,0,TCN_NOT_READY
0.54,0.0,0.0,0.19040732136586552,0.0,0.0,0.5,0.0,0.0,0.003426357661975929,1,0,TCN_NOT_READY
0.55,0.0,0.0,0.19121064665656234,0.0,0.0,0.5,0.0,0.0,0.0034553301413743054,1,0,TCN_NOT_READY
0.56,0.0,0.0,0.19156670920552835,0.0,0.0,0.5,0.0,0.0,0.003468210796215767,1,0,TCN_NOT_READY
0.57,0.0,0.0,0.1916897347971264,0.0,0.0,0.5,0.0,0.0,0.0034726668490957582,1,0,TCN_NOT_READY
