metric,panel,metric_label,unit,path_id,path_label,model_seed,moderntcn,fusion,effect_moderntcn_minus_fusion
ey_rmse,a,Lateral-error RMS,m,p02_sharp_turn_transition,P2 Sharp-turn transition,202,0.0560160111685413,0.0351770099855334,0.0208390011830079
ey_rmse,a,Lateral-error RMS,m,p03_long_updown,P3 Long up/down,202,0.034337401019229,0.031850593715434,0.002486807303795
ey_rmse,a,Lateral-error RMS,m,p04_soft_updown_straight_turn,P4 Mild grade and turn,202,0.0030752066268836,0.0030752066268836,0.0
ey_rmse,a,Lateral-error RMS,m,p05_factory_flat_logistics,P5 Flat logistics,202,0.0092086374539585,0.0092086374539585,0.0
ey_rmse,a,Lateral-error RMS,m,p06_downhill_after_turn,P6 Downhill after turn,202,0.0310849535100961,0.0233129109744531,0.0077720425356429
ey_rmse,a,Lateral-error RMS,m,p01_factory_logistics_showcase,P1 Factory logistics,340,0.0125446117822005,0.0126390728941671,-9.446111196666912e-05
ey_rmse,a,Lateral-error RMS,m,p02_sharp_turn_transition,P2 Sharp-turn transition,340,0.024475651375676,0.0233450702173206,0.0011305811583554
ey_rmse,a,Lateral-error RMS,m,p03_long_updown,P3 Long up/down,340,0.0361964315021797,0.0337121199364524,0.0024843115657272
ey_rmse,a,Lateral-error RMS,m,p04_soft_updown_straight_turn,P4 Mild grade and turn,340,0.0034034371921799,0.0034034371921799,0.0
ey_rmse,a,Lateral-error RMS,m,p05_factory_flat_logistics,P5 Flat logistics,340,0.0092212345604136,0.0092212345604136,0.0
ey_rmse,a,Lateral-error RMS,m,p06_downhill_after_turn,P6 Downhill after turn,340,0.0166136436984761,0.0119935292890359,0.0046201144094401
ey_rmse,a,Lateral-error RMS,m,p01_factory_logistics_showcase,P1 Factory logistics,520,0.1420790475846063,0.03161679576257,0.1104622518220363
ey_rmse,a,Lateral-error RMS,m,p02_sharp_turn_transition,P2 Sharp-turn transition,520,0.0488401048116015,0.0314077517850777,0.0174323530265237
ey_rmse,a,Lateral-error RMS,m,p03_long_updown,P3 Long up/down,520,0.0776995862676567,0.0210459240900139,0.0566536621776428
ey_rmse,a,Lateral-error RMS,m,p04_soft_updown_straight_turn,P4 Mild grade and turn,520,0.0062363646989302,0.0062363646989302,0.0
ey_rmse,a,Lateral-error RMS,m,p05_factory_flat_logistics,P5 Flat logistics,520,0.0161525586711059,0.0161525586711059,0.0
ey_rmse,a,Lateral-error RMS,m,p06_downhill_after_turn,P6 Downhill after turn,520,0.0199485730075771,0.0120701313439875,0.0078784416635896
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,1,0.0249423270470265,0.0228297044722834,0.002112622574743
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,1,0.0250527040681366,0.0272593256707235,-0.0022066216025868
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,1,0.0185087809119547,0.0215619152541496,-0.0030531343421948
