path_id,model_seed,moderntcn_ey_rmse,fusion_ey_rmse,effect_moderntcn_minus_fusion_ey_rmse,moderntcn_epsi_rmse,fusion_epsi_rmse,effect_moderntcn_minus_fusion_epsi_rmse,moderntcn_j_du,fusion_j_du,effect_moderntcn_minus_fusion_j_du
p01_factory_logistics_showcase,1,0.016611410117273937,0.020889476576842442,-0.004278066459568505,0.024942327047026563,0.02282970447228349,0.002112622574743074,0.2140556146441555,0.20036117611464788,0.013694438529507635
p02_sharp_turn_transition,1,0.038746305571835025,0.03041153993531206,0.008334765636522967,0.025052704068136665,0.027259325670723526,-0.0022066216025868612,1.4172568570378634,0.7461041399318977,0.6711527171059657
p03_long_updown,1,0.02887894684209028,0.035840859372158904,-0.006961912530068625,0.018508780911954795,0.021561915254149626,-0.0030531343421948305,1.7647655233542832,1.8622708752043797,-0.09750535185009657
p04_soft_updown_straight_turn,1,0.005333235058467857,0.005333235058467857,0.0,0.008564380730300627,0.008564380730300627,0.0,0.30027830697319335,0.30027830697319335,0.0
p05_factory_flat_logistics,1,0.004848524106465604,0.004848524106465604,0.0,0.007923562926252386,0.007923562926252386,0.0,0.02025113483199284,0.02025113483199284,0.0
p06_downhill_after_turn,1,0.021619661092588064,0.01739819477306248,0.004221466319525583,0.020589201458444627,0.014842160706944092,0.0057470407515005355,0.49805630573313764,0.5101392032650621,-0.012082897531924486
p01_factory_logistics_showcase,7,0.06576476330118358,0.015338306060974279,0.050426457240209305,0.04557952591152491,0.02256885271995633,0.023010673191568576,0.5594498707336585,0.18430762179238586,0.3751422489412726
p02_sharp_turn_transition,7,0.04012617315388491,0.03201216920438534,0.00811400394949957,0.03464367400348523,0.034556764130553544,8.690987293168834e-05,0.6583107250188149,0.6874479530707479,-0.029137228051932973
p03_long_updown,7,0.018070573957642277,0.033538219090493995,-0.015467645132851718,0.022759159431894802,0.02861017961884349,-0.005851020186948688,1.638324259481383,1.818536833145546,-0.1802125736641631
p04_soft_updown_straight_turn,7,0.003020829266701281,0.003020829266701281,0.0,0.00791705665506756,0.00791705665506756,0.0,0.29928517212050093,0.29928517212050093,0.0
p05_factory_flat_logistics,7,0.00956270617615235,0.009168756456656662,0.00039394971949568806,0.008660349316628985,0.008412229421308868,0.0002481198953201164,0.1535898711233129,0.14634547448327442,0.007244396640038481
p06_downhill_after_turn,7,0.017975167070990755,0.012778395070915315,0.00519677200007544,0.01752979435914851,0.010427135936285739,0.007102658422862772,0.5274936860176479,0.5541981070840447,-0.02670442106639681
p01_factory_logistics_showcase,11,0.03848035219300763,0.019657871597173884,0.01882248059583375,0.04667897021904918,0.024155759241565596,0.022523210977483585,0.31573465226860553,0.08822133964626346,0.2275133126223421
p02_sharp_turn_transition,11,0.032645024976470816,0.018888320542009018,0.013756704434461798,0.02961206465236877,0.0293268513678773,0.0002852132844914715,0.657514747689079,0.6020664702353737,0.055448277453705286
p03_long_updown,11,0.06824584988099955,0.053001013627723366,0.015244836253276182,0.02712679017843393,0.025929451298134953,0.0011973388802989753,1.5735410398148497,1.655013603543419,-0.08147256372856937
p04_soft_updown_straight_turn,11,0.003421097028164023,0.003421097028164023,0.0,0.007842720798967726,0.007842720798967726,0.0,0.2996742662823607,0.2996742662823607,0.0
p05_factory_flat_logistics,11,0.004395999447469037,0.004395999447469037,0.0,0.00792214027875236,0.00792214027875236,0.0,0.01879969306177754,0.01879969306177754,0.0
p06_downhill_after_turn,11,0.0194650347899577,0.014534684882955555,0.004930349907002144,0.017109026713502548,0.011706435309809391,0.005402591403693157,0.4953903076069647,0.529093581891739,-0.033703274284774376
p01_factory_logistics_showcase,21,0.014906757794376203,0.017521663061033817,-0.0026149052666576134,0.015120716334620985,0.01139144337240583,0.0037292729622151553,0.13267366174330197,0.0870595344132399,0.04561412733006208
p02_sharp_turn_transition,21,0.048715441901458004,0.025359201161707465,0.02335624073975054,0.02846016888411898,0.02698757863998019,0.0014725902441387918,1.872816493040568,0.7702423261665763,1.1025741668739917
