fusion,metric,baseline_mean,fusion_mean,effect,relative_reduction_pct,case_wins,ties,losses
RKF,ey_rmse,0.026348949056145942,0.022340102141686212,0.00400884691445973,15.214447095849764,30,16,14
RKF,epsi_rmse,0.022161334247498454,0.019397194937673435,0.0027641393098250186,12.472801858205049,31,16,13
RKF,j_du,0.9305307636811345,0.7269763841488961,0.20355437953223843,21.875083283328234,30,16,14
R2_06_V7,ey_rmse,0.026348949056145942,0.018910990447876808,0.0074379586082691344,28.228672773323442,36,16,8
R2_06_V7,epsi_rmse,0.022161334247498454,0.019327606197141595,0.002833728050356858,12.786811564275407,29,16,15
R2_06_V7,j_du,0.9305307636811345,0.6736145630773563,0.2569162006037782,27.609640715953354,24,16,20
