model_seed,path_id,ey_fusion_rkf,epsi_fusion_rkf,jdu_fusion_rkf,ey_fusion_r2,epsi_fusion_r2,jdu_fusion_r2,ey_fusion_r2_minus_rkf,epsi_fusion_r2_minus_rkf,jdu_fusion_r2_minus_rkf
1,p01_factory_logistics_showcase,0.0193714582480449,0.0207876645879287,0.2160263698193798,0.0208894765768424,0.0228297044722834,0.2003611761146478,0.001518018328797499,0.0020420398843546995,-0.015665193704732017
1,p02_sharp_turn_transition,0.0302262707746777,0.0250720351472533,0.7539610448306839,0.030411539935312,0.0272593256707235,0.7461041399318977,0.00018526916063429932,0.002187290523470199,-0.00785690489878621
1,p03_long_updown,0.029738379702052,0.0187259738529894,1.7916754672431727,0.0358408593721589,0.0215619152541496,1.86227087520438,0.006102479670106898,0.0028359414011602004,0.07059540796120722
1,p04_soft_updown_straight_turn,0.0053332350584678,0.0085643807303006,0.3002783069731933,0.0053332350584678,0.0085643807303006,0.3002783069731933,0.0,0.0,0.0
1,p05_factory_flat_logistics,0.0048485241064656,0.0079235629262523,0.0202511348319928,0.0048485241064656,0.0079235629262523,0.0202511348319928,0.0,0.0,0.0
1,p06_downhill_after_turn,0.0188260430431742,0.016654244131214,0.5065579226728999,0.0173981947730624,0.014842160706944,0.5101392032650621,-0.0014278482701118,-0.0018120834242700001,0.003581280592162228
7,p01_factory_logistics_showcase,0.0166952056179758,0.0243897387802918,0.127140769547348,0.0153383060609742,0.0225688527199563,0.1843076217923858,-0.0013568995570015993,-0.0018208860603355012,0.057166852245037814
7,p02_sharp_turn_transition,0.0371961343861637,0.0302883778476868,0.6106201858283778,0.0320121692043853,0.0345567641305535,0.6874479530707479,-0.005183965181778397,0.004268386282866701,0.07682776724237006
7,p03_long_updown,0.0370424861311408,0.0244443601839139,1.8536830654690464,0.0335382190904939,0.0286101796188434,1.818536833145546,-0.003504267040646901,0.0041658194349295,-0.03514623232350034
7,p04_soft_updown_straight_turn,0.0030208292667012,0.0079170566550675,0.2992851721205009,0.0030208292667012,0.0079170566550675,0.2992851721205009,0.0,0.0,0.0
7,p05_factory_flat_logistics,0.0083079055797324,0.0079152895639166,0.114172926053344,0.0091687564566566,0.0084122294213088,0.1463454744832744,0.0008608508769241997,0.0004969398573922007,0.03217254842993039
7,p06_downhill_after_turn,0.0166551461599988,0.0145244256904888,0.487897051884171,0.0127783950709153,0.0104271359362857,0.5541981070840447,-0.003876751089083502,-0.0040972897542031,0.06630105519987373
11,p01_factory_logistics_showcase,0.020056392124993,0.0328650189486448,0.2287663018244733,0.0196578715971738,0.0241557592415655,0.0882213396462634,-0.00039852052781920097,-0.008709259707079298,-0.1405449621782099
11,p02_sharp_turn_transition,0.0313249273742999,0.0239166564266009,0.6159759697936623,0.018888320542009,0.0293268513678773,0.6020664702353737,-0.012436606832290899,0.005410194941276401,-0.013909499558288574
