metric,baseline_mean,fusion_mean,effect_moderntcn_minus_fusion_mean,relative_reduction_percent,ci95_low,ci95_high,bootstrap_positive_fraction,case_wins,case_ties,case_losses,ci_supports_fusion,iterations,bootstrap_seed
ey_rmse,0.026348949056145994,0.018910990447876863,0.00743795860826913,28.22867277332337,0.0024534443018867213,0.015266875549689226,0.9996,36,16,8,True,10000,20260715
epsi_rmse,0.022161334247498506,0.01932760619714165,0.002833728050356859,12.786811564275379,0.0006449527656079343,0.006146541285137416,0.9985,29,16,15,True,10000,20260715
j_du,0.9305307636811346,0.6736145630773565,0.2569162006037781,27.60964071595334,-0.013485858639532562,0.9333310961460866,0.947,24,16,20,False,10000,20260715
