path_id,fusion,metric,baseline_mean,fusion_mean,effect,relative_reduction_pct,case_wins,ties,losses
p01_factory_logistics_showcase,RKF,ey_rmse,0.03660541963108096,0.02433945314068763,0.01226596649039333,33.5086077799762,5,0,5
p01_factory_logistics_showcase,RKF,epsi_rmse,0.03465495622813036,0.02701166614900561,0.007643290079124752,22.055402490800113,6,0,4
p01_factory_logistics_showcase,RKF,j_du,1.5364842995715127,0.7546876633639628,0.7817966362075499,50.88217539388939,6,0,4
p01_factory_logistics_showcase,R2_06_V7,ey_rmse,0.03660541963108096,0.01870679298433337,0.017898626646747587,48.89611108719597,6,0,4
p01_factory_logistics_showcase,R2_06_V7,epsi_rmse,0.03465495622813036,0.02238121184213012,0.012273744386000242,35.416995783238974,7,0,3
p01_factory_logistics_showcase,R2_06_V7,j_du,1.5364842995715127,0.18579657412070488,1.3506877254508078,87.90768157067932,9,0,1
p02_sharp_turn_transition,RKF,ey_rmse,0.042415633438595945,0.03928853155262057,0.0031271018859753766,7.372521951139557,7,0,3
p02_sharp_turn_transition,RKF,epsi_rmse,0.031392342176579026,0.028707715464709994,0.0026846267118690315,8.551852221692329,8,0,2
p02_sharp_turn_transition,RKF,j_du,0.9844304242890637,0.7593831166918392,0.22504730759722447,22.860661560693757,10,0,0
p02_sharp_turn_transition,R2_06_V7,ey_rmse,0.042415633438595945,0.02907194078055239,0.013343692658043554,31.459373764536338,9,0,1
p02_sharp_turn_transition,R2_06_V7,epsi_rmse,0.031392342176579026,0.03180065166890566,-0.0004083094923266334,-1.3006659077233875,6,0,4
p02_sharp_turn_transition,R2_06_V7,j_du,0.9844304242890637,0.7084126934251849,0.2760177308638788,28.03831779815353,8,0,2
p03_long_updown,RKF,ey_rmse,0.037870147517439126,0.033562059465675836,0.00430808805176329,11.375947373269206,6,0,4
p03_long_updown,RKF,epsi_rmse,0.02567551010064394,0.02413584594688024,0.0015396641537636993,5.996625374640891,5,0,5
p03_long_updown,RKF,j_du,1.8090184640417217,1.794427971131448,0.014590492910273811,0.8065419563311493,6,0,4
p03_long_updown,R2_06_V7,ey_rmse,0.037870147517439126,0.031364426296499597,0.00650572122093953,17.17902265351266,7,0,3
p03_long_updown,R2_06_V7,epsi_rmse,0.02567551010064394,0.02731295072003288,-0.0016374406193889399,-6.377441433375351,3,0,7
p03_long_updown,R2_06_V7,j_du,1.8090184640417217,1.7978976885558882,0.011120775485833567,0.6147408501838866,4,0,6
p04_soft_updown_straight_turn,RKF,ey_rmse,0.003955013058945569,0.00395657527130343,-1.562212357860554e-06,-0.03949954992758101,0,9,1
p04_soft_updown_straight_turn,RKF,epsi_rmse,0.008113135260347081,0.00812128392659998,-8.148666252899561e-06,-0.10043794404274434,0,9,1
p04_soft_updown_straight_turn,RKF,j_du,0.3066988398780176,0.3057815292370689,0.0009173106409486875,0.2990916565949603,1,9,0
p04_soft_updown_straight_turn,R2_06_V7,ey_rmse,0.003955013058945569,0.003943168881851649,1.1844177093919828e-05,0.2994725154479656,1,9,0
p04_soft_updown_straight_turn,R2_06_V7,epsi_rmse,0.008113135260347081,0.008111445463693611,1.6897966534697856e-06,0.020827911765857774,1,9,0
p04_soft_updown_straight_turn,R2_06_V7,j_du,0.3066988398780176,0.30645219020901127,0.000246649669006338,0.08042080273418616,1,9,0
p05_factory_flat_logistics,RKF,ey_rmse,0.01753156732281791,0.015467127850323581,0.002064439472494328,11.775555684672826,3,7,0
p05_factory_flat_logistics,RKF,epsi_rmse,0.01410975906660496,0.01276632920096453,0.001343429865640431,9.521281400332814,3,7,0
p05_factory_flat_logistics,RKF,j_du,0.437578019471138,0.24106287622525507,0.19651514324588293,44.90973826413709,2,7,1
p05_factory_flat_logistics,R2_06_V7,ey_rmse,0.01753156732281791,0.01618506649747696,0.0013465008253409488,7.680436098764734,3,7,0
p05_factory_flat_logistics,R2_06_V7,epsi_rmse,0.01410975906660496,0.013560439283360736,0.0005493197832442242,3.8931903844081694,2,7,1
p05_factory_flat_logistics,R2_06_V7,j_du,0.437578019471138,0.5100007844236718,-0.0724227649525338,-16.550823334331284,1,7,2
p06_downhill_after_turn,RKF,ey_rmse,0.019715913367996152,0.01742686556950621,0.0022890477984899432,11.610153462155292,9,0,1
p06_downhill_after_turn,RKF,epsi_rmse,0.01902230265268537,0.015640328937880248,0.0033819737148051213,17.778992252169267,9,0,1
p06_downhill_after_turn,RKF,j_du,0.5089745348353538,0.5065151482438027,0.0024593865915510937,0.4832042515342484,5,0,5
p06_downhill_after_turn,R2_06_V7,ey_rmse,0.019715913367996152,0.014194547246546878,0.005521366121449274,28.004617480272707,10,0,0
p06_downhill_after_turn,R2_06_V7,epsi_rmse,0.01902230265268537,0.01279893820472657,0.006223364447958799,32.71614673358301,10,0,0
p06_downhill_after_turn,R2_06_V7,j_du,0.5089745348353538,0.5331274477296776,-0.024152912894323753,-4.745406939099003,1,0,9
