method_id,seed,raw_prediction_file,loss_total,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,false_turn_straight,flat_recall,stall_recall,slope_recall,flat_as_stall_ratio,stall_as_flat_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,n_turn_transition,n_turn_pure,main_confidence_mean,main_confidence_error_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_confidence_error_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,theta_mae_rad,theta_mae_deg,uphill_recall,downhill_recall,slope_sign_acc,theta_flat_mae_deg,theta_flat_abs_p95_deg,theta_flat_abs_max_deg,theta_flat_bias_deg,theta_flat_n,theta_near_flat_mae_deg,theta_near_flat_abs_p95_deg,theta_near_flat_abs_max_deg,theta_near_flat_bias_deg,theta_near_flat_n,theta_true_zero_mae_deg,theta_true_zero_abs_p95_deg,theta_true_zero_abs_max_deg,theta_true_zero_bias_deg,theta_true_zero_n,theta_flat_turn_mae_deg,theta_flat_turn_abs_p95_deg,theta_flat_turn_abs_max_deg,theta_flat_turn_bias_deg,theta_flat_turn_n,theta_slope_control_mae_deg,theta_slope_control_abs_p95_deg,theta_slope_control_abs_max_deg,theta_slope_control_bias_deg,theta_slope_control_n,theta_all_mae_deg,theta_all_rmse_deg,theta_all_p95_abs_err_deg,theta_all_max_abs_err_deg,theta_all_bias_deg,theta_all_n,theta_active_abs_ge_2_mae_deg,theta_active_abs_ge_2_rmse_deg,theta_active_abs_ge_2_p95_abs_err_deg,theta_active_abs_ge_2_max_abs_err_deg,theta_active_abs_ge_2_bias_deg,theta_active_abs_ge_2_n,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_p95_abs_err_deg,theta_abs_le_8_max_abs_err_deg,theta_abs_le_8_bias_deg,theta_abs_le_8_n,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_p95_abs_err_deg,theta_abs_le_10_max_abs_err_deg,theta_abs_le_10_bias_deg,theta_abs_le_10_n,theta_pos_8_10_mae_deg,theta_pos_8_10_rmse_deg,theta_pos_8_10_p95_abs_err_deg,theta_pos_8_10_max_abs_err_deg,theta_pos_8_10_bias_deg,theta_pos_8_10_n,theta_neg_10_8_mae_deg,theta_neg_10_8_rmse_deg,theta_neg_10_8_p95_abs_err_deg,theta_neg_10_8_max_abs_err_deg,theta_neg_10_8_bias_deg,theta_neg_10_8_n,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_p95_abs_err_deg,theta_pos_6_8_max_abs_err_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_p95_abs_err_deg,theta_neg_8_6_max_abs_err_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_neg_4_2_mae_deg,theta_neg_4_2_rmse_deg,theta_neg_4_2_p95_abs_err_deg,theta_neg_4_2_max_abs_err_deg,theta_neg_4_2_bias_deg,theta_neg_4_2_n,theta_neg_2_0p5_mae_deg,theta_neg_2_0p5_rmse_deg,theta_neg_2_0p5_p95_abs_err_deg,theta_neg_2_0p5_max_abs_err_deg,theta_neg_2_0p5_bias_deg,theta_neg_2_0p5_n,theta_pos_0p5_2_mae_deg,theta_pos_0p5_2_rmse_deg,theta_pos_0p5_2_p95_abs_err_deg,theta_pos_0p5_2_max_abs_err_deg,theta_pos_0p5_2_bias_deg,theta_pos_0p5_2_n,theta_edge_p95_abs_err
modern_tcn_delta_bank_124,1,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed1_predictions.csv,,0.9630760688506386,0.5627429205996669,0.5735243944046401,0.5156482861400894,0.470770822555613,0.9404761904761904,0.65625,0.98,0.0,0.1145833333333333,0.6808510638297872,0.5292291774443869,0.5287356321839081,671,2931,0.9856113185587324,0.8772136017900415,0.0044419766796224,0.0161021654636313,0.8149809217042395,0.7593587388961712,0.1796224319822321,0.2895613548028873,0.009843837682392,0.564010353412906,0.7591743119266054,0.8036322360953462,0.9694808899030234,0.5507527276639552,2.328775302352356,6.056317637992905,-0.0633553099158461,756.0,0.5626367774555332,1.6427679001127642,3.0035690707673486,-0.1419196855705445,278.0,,,,,0.0,0.5251672802201297,1.7318881657144092,2.3471003797303824,-0.2465436595127979,141.0,0.564010353412906,9.547641829891678,13.438010432538336,0.0101199346559628,3506.0,0.5640103534129061,0.8290703490614771,1.7197415280491877,6.140841015528402,0.0101199346559628,3506.0,0.5676549952551629,0.8494500234528953,1.7721860043410465,6.140841015528402,0.0303189473455219,2750.0,0.5499375871180142,0.80514222654793,1.6582975891708318,6.140841015528402,-0.002906010263363,2815.0,0.5640103534129061,0.8290703490614771,1.7197415280491877,6.140841015528402,0.0101199346559628,3506.0,0.7503364441288326,1.1074081977996184,2.501483209573202,4.938010765186717,-0.0706031136211138,328.0,0.5047813709481573,0.7096290074961106,1.3012507576493102,4.621417409891463,0.1840736392917301,363.0,0.5880601950814001,0.8538971098647256,1.750361991805954,4.7054022696995865,-0.0054687047954568,378.0,0.4072708704865536,0.6207196554856528,1.3375227974017796,3.2017011192017826,0.0749171653766357,378.0,0.6765869401490403,0.9172594836553336,1.7879730047678408,4.161521616528317,-0.1122918654048076,330.0,0.502137808989783,0.657180162512597,1.4111917343578253,2.475580506886554,0.028580606416801,207.0,0.5756956144665197,0.797441400819957,1.4770620520330051,4.456317650387092,-0.0529857093581039,271.0,2.501483209573202
modern_tcn_delta_bank_124,7,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed7_predictions.csv,,0.9669627984453082,0.6068850638534148,0.6236779256226543,0.533532041728763,0.3781686497672012,0.9656084656084656,0.6770833333333334,0.9774545454545456,0.0,0.1041666666666666,0.60450563204005,0.6218313502327988,0.5758620689655173,671,2931,0.9907143186092274,0.89991304983435,0.0052748473070516,0.0108273181565796,0.8579884510171731,0.8026701207520388,0.1129927817878956,0.2248750694058856,0.0100067106213848,0.5733422854140873,0.7522935779816514,0.7956867196367764,0.975185396463206,0.5513073839436698,2.351814277474749,5.971820513997031,0.0454070811740192,756.0,0.5134367741144471,1.4163640445172083,5.8311083718110135,0.0434092049357103,278.0,,,,,0.0,0.4878200987555221,1.2979573898419192,5.8311083718110135,0.0541473748322744,141.0,0.5733422854140873,9.40514081847335,12.419921217876452,-0.0965732362800342,3506.0,0.5733422854140873,0.83065735678687,1.6715457922748738,5.728747741814617,-0.0965732362800342,3506.0,0.5793998801455912,0.8377184223090826,1.7258507854162184,5.728747741814617,-0.1356049162783122,2750.0,0.5543936898813087,0.7815118482676937,1.5330198655761291,5.621483462880975,-0.0715712002031322,2815.0,0.5733422854140873,0.83065735678687,1.6715457922748738,5.728747741814617,-0.0965732362800342,3506.0,0.9249161938449696,1.3205850151421012,2.9490852493997086,5.728747741814617,-0.4633811069261042,328.0,0.4026096530709537,0.5933637871517752,1.1217595334316282,3.994647235139359,0.040981171475976,363.0,0.4903067445115797,0.7043517135955718,1.392072594127932,4.256935463891134,-0.1735328748153148,378.0,0.464553317483928,0.6656955906304837,1.3943914006624714,3.610828169825077,-0.0203242600831939,378.0,0.7612436108312638,0.9427587567164558,1.9053365561547373,2.792957412945656,-0.0368294365495959,330.0,0.5253451432742485,0.7140198138277671,1.1756739944989243,3.3034525817015785,0.1561350993559181,207.0,0.6099871380067478,0.8319566985470543,1.5822022221760526,4.371820526391218,-0.0371216648385388,271.0,2.9490852493997086
modern_tcn_delta_bank_124,11,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed11_predictions.csv,,0.966129927817879,0.575235980011105,0.5878539747526441,0.5201192250372578,0.4480082772891878,0.9682539682539684,0.71875,0.974181818181818,0.0,0.1145833333333333,0.6195244055068836,0.5519917227108122,0.5862068965517241,671,2931,0.9886037238333082,0.8825230174914732,0.0074958356468628,0.0130483064963908,0.8443188854189531,0.7923797538127065,0.1374236535258189,0.2332037756801776,0.0106516870653683,0.6102967135396983,0.7482798165137615,0.793416572077185,0.9703365658870508,0.6933163980637885,2.669324372222666,5.401720845675346,0.2585104123046441,756.0,0.6796421059970216,2.0614644513057283,4.080009231838885,0.3302083846361295,278.0,,,,,0.0,0.6464971821389496,2.0968561223628672,3.31891783752978,0.2962260710345732,141.0,0.6102967135396983,9.642982092638356,12.717587692094778,-0.0191796812185461,3506.0,0.6102967135396983,0.8770214968175154,1.7358486082159588,5.724653043407194,-0.0191796812185461,3506.0,0.5874738475396211,0.8623932734567,1.6880825553734609,5.724653043407194,-0.0955192123834667,2750.0,0.6047399802270792,0.8446345487529576,1.710664078576193,5.542396275594574,0.0104455740717675,2815.0,0.6102967135396983,0.8770214968175154,1.7358486082159588,5.724653043407194,-0.0191796812185461,3506.0,0.7707633104938773,1.1140064738028628,2.1807302263847284,4.875269928131449,-0.1631302169315958,328.0,0.5083935743497591,0.8804658177091407,1.4618918550408628,5.724653043407194,-0.1188472237208951,363.0,0.5336811629096698,0.7306348887738844,1.463964347878454,3.891664631041668,0.0385884592217212,378.0,0.5219555531023934,0.7051261345689711,1.6123296743407902,2.697301467393273,-0.1977664356810497,378.0,0.6850180072964303,0.9227702034787836,1.8251770131603884,3.865451645667629,-0.1238700663975387,330.0,0.7319581501614673,0.9185325455030908,1.864671376080712,3.580034261952074,0.2078771035807388,207.0,0.6778278759617284,0.911429259634909,1.8253451638800176,3.801720858069532,0.223636089786915,271.0,2.1807302263847284
modern_tcn_delta_bank_124,21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed21_predictions.csv,,0.961965574680733,0.6141032759578012,0.6349368816103719,0.5230998509687034,0.3585100879461976,0.9523809523809524,0.6458333333333334,0.9756363636363636,0.0013227513227513,0.09375,0.6057571964956195,0.6414899120538023,0.5609195402298851,671,2931,0.9916398109872918,0.8959778161356399,0.0033314825097168,0.0063853414769572,0.8648054944733969,0.8102672155421021,0.1088284286507495,0.2093281510272071,0.0090563152096575,0.518888639453515,0.7557339449541285,0.7945516458569807,0.9660581859669138,0.503695843069136,2.3893758355981767,5.40125980790637,0.2333001909246914,756.0,0.5258299362327864,1.349854832014286,2.8063260141420745,0.2612682207411143,278.0,,,,,0.0,0.4854552986474944,1.3122959846221858,2.6241285835978685,0.2661371546396985,141.0,0.518888639453515,9.393259704412111,12.020735934476935,0.0353955072648894,3506.0,0.518888639453515,0.7359325442162362,1.4107342717659963,7.520735809253026,0.0353955072648894,3506.0,0.5230652772959116,0.7465600222636758,1.3824996998080206,7.520735809253026,-0.019010289406678,2750.0,0.5118539015223377,0.7216683247660395,1.3596409723106069,7.520735809253026,0.0759664030780377,2815.0,0.518888639453515,0.7359325442162362,1.4107342717659963,7.520735809253026,0.0353955072648894,3506.0,0.651065009260639,0.9102061185285736,1.886957408224476,3.86284336717833,-0.3426321734484269,328.0,0.4540096807194313,0.6660430607852162,1.1486618556476518,5.213911987841152,0.0623542057771623,363.0,0.4566175038646519,0.6522750463953164,1.1837933605304354,4.155297980173113,-0.1064684749369087,378.0,0.4668720069069212,0.6277414593311503,1.1431868186976522,3.5349031466809806,0.1342748159429304,378.0,0.5089530135886542,0.7395157951311566,1.2937895870660363,4.159900887343467,-0.1382355058909978,330.0,0.528702203420553,0.6871458787724193,1.473364459756709,2.41463750368688,0.3085500550822038,207.0,0.4618892213265597,0.6733607514565719,1.2914037166115864,3.801259820300556,0.1471310611476781,271.0,1.886957408224476
modern_tcn_delta_bank_124,42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed42_predictions.csv,,0.9602998334258744,0.5746807329261522,0.5854657113613101,0.5275707898658718,0.4474909467149509,0.9365079365079364,0.7083333333333334,0.9756363636363636,0.0013227513227513,0.1041666666666666,0.6583229036295369,0.5525090532850492,0.5471264367816092,671,2931,0.9910131584424644,0.8785897126969782,0.0049972237645752,0.009716823986674,0.8424831845114782,0.7960506021841034,0.1474181010549694,0.2448639644641865,0.0101604374617426,0.5821501845644679,0.7580275229357798,0.7990919409761634,0.9597832287507132,0.5761291094460742,2.507424289540181,6.029186845949145,0.2458546732821188,756.0,0.5751097741278901,1.6249664207676422,3.4773816413686607,0.2052520715396558,278.0,,,,,0.0,0.5043839052478892,1.366059925395647,3.0237454495755665,0.1761872116770298,141.0,0.5821501845644679,9.52330010290681,13.521119320585404,0.1513039106179804,3506.0,0.582150184564468,0.8480924438662715,1.7582118281674506,7.54989388681981,0.1513039106179804,3506.0,0.583805432851561,0.8502457488446694,1.752117478488694,7.54989388681981,0.125311046409221,2750.0,0.5825073625340074,0.835956758088948,1.7409603644794778,7.54989388681981,0.1791992281287146,2815.0,0.582150184564468,0.8480924438662715,1.7582118281674506,7.54989388681981,0.1513039106179804,3506.0,0.6736716189620958,1.0145051350149386,2.208482800430713,5.328732803874354,-0.01834870777621,328.0,0.4966832796975938,0.7730930375200926,1.8859773614559432,3.1014587016217368,0.0882756462669551,363.0,0.4788621109336866,0.7086892462165848,1.5202030796316246,3.948029913393552,0.1251884401309453,378.0,0.5877577497198713,0.7611785849255074,1.7018418433904057,3.2312239715589284,0.0183979282118527,378.0,0.6046403269141594,0.837256219041654,1.564193670705204,4.543828381910823,0.1432294381573438,330.0,0.6563353931775172,0.8765804816715926,1.926477421706782,3.4098325645811154,0.3816270150110802,207.0,0.5159101961104523,0.801122724049725,1.6844311042266615,4.429186858343332,0.1837980258522653,271.0,2.208482800430713
modern_tcn_delta_bank_124,73,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed73_predictions.csv,,0.9694614103275958,0.6024430871737924,0.6240191061071306,0.5081967213114754,0.3781686497672012,0.9616402116402116,0.6354166666666666,0.9832727272727272,0.0039682539682539,0.09375,0.5919899874843555,0.6218313502327988,0.5689655172413793,671,2931,0.9912374318126248,0.8842659014635527,0.0022209883398112,0.0116601887840088,0.859057442834247,0.8074542358316893,0.1224319822320932,0.2107162687395891,0.0103803569846374,0.5947506450588733,0.7649082568807339,0.7922814982973894,0.946377638334284,0.6452347824139845,2.289580368521944,6.679380727572985,0.0761484857086835,756.0,0.5970951827815879,1.4593933291537888,3.0854532205188696,0.1436365314715277,278.0,,,,,0.0,0.5464880604784165,1.4511346272632102,3.0854532205188696,0.1111121130055328,141.0,0.5947506450588733,9.525662281142576,13.82023208736048,0.1558399973071463,3506.0,0.5947506450588732,0.8180359081228948,1.5650665982295997,7.173478746565823,0.1558399973071463,3506.0,0.5808720967532499,0.8116423568024155,1.5616670876816798,7.173478746565823,0.1777479183138509,2750.0,0.6001317369335244,0.8100548582727234,1.4691667322145257,7.173478746565823,0.1755862949685911,2815.0,0.5947506450588732,0.8180359081228948,1.5650665982295997,7.173478746565823,0.1558399973071463,3506.0,0.6685676943798509,1.0008596062688189,2.1546164068197022,4.320232107590112,-0.1115740397989934,328.0,0.4863215381596343,0.6851813782805998,1.5651014775510914,3.7645121219054185,0.2443413093012137,363.0,0.425072994566298,0.7146460752273751,1.3529912121924714,4.340388422717642,0.0766960586704467,378.0,0.4927833622958507,0.6692946010574017,1.311424452484092,3.240505985197564,0.0995076312950941,378.0,0.6584880415586164,0.831767715533785,1.5425975196841215,4.139366430531926,0.1362977481559063,330.0,0.6704423214282857,0.8093674511971387,1.5339522984556275,2.1658525589242204,0.3518729013575806,207.0,0.6753633732695041,0.8873711027820007,1.3894143965607568,5.079380739967172,-0.2036914802005131,271.0,2.1546164068197022
modern_tcn_delta_bank_124,101,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed101_predictions.csv,,0.9627984453081622,0.5874514158800667,0.5970658478335039,0.5454545454545454,0.4143817899637869,0.966931216931217,0.6458333333333334,0.9727272727272728,0.0,0.09375,0.6020025031289111,0.5856182100362132,0.5781609195402299,671,2931,0.9894609174077384,0.8591006070866454,0.0047196002220988,0.0130483064963908,0.8605747059371703,0.8172653037860369,0.1321488062187673,0.2146029983342587,0.0097925523483936,0.5610719202238796,0.7551605504587156,0.7849035187287173,0.9632059326868226,0.5573241064452471,2.572531093451771,4.987559945633752,0.3863868727023206,756.0,0.6112054262220834,1.4925125535853814,4.335743040308388,0.494372263305346,278.0,,,,,0.0,0.6239639143475909,1.521214289138245,4.335743040308388,0.5584835152101911,141.0,0.5610719202238796,9.573842008661025,13.200330094705649,0.0225487390092885,3506.0,0.5610719202238796,0.8032363417992752,1.5875454578194124,6.917214637940293,0.0225487390092885,3506.0,0.5621022283026601,0.8067045564016868,1.6234966921243008,6.917214637940293,-0.0774736715623231,2750.0,0.5436924056692164,0.767345761483928,1.5097224038122272,6.144801031143127,0.0732152902954802,2815.0,0.5610719202238796,0.8032363417992752,1.5875454578194124,6.917214637940293,0.0225487390092885,3506.0,0.7882173731388609,1.1521440102887262,2.445638003437933,6.917214637940293,-0.3427911624349858,328.0,0.4906025673733661,0.6825358105020626,1.3039246059546417,3.7622607208002528,-0.0402470025799889,363.0,0.430873798111533,0.5834954185898693,0.9351580395992808,4.440035760066251,-0.0771468613196396,378.0,0.4637778380431623,0.6176362221524275,1.1761560777882798,2.3034471466409503,-0.0538670932310825,378.0,0.7079310810033934,0.9657613258183028,2.1888965472987434,3.3871165293404166,0.0039260740293742,330.0,0.5771049117652257,0.7726576385264059,1.5570095950268608,2.997358401099397,0.4093051879683221,207.0,0.4869416946400955,0.7306994379770416,1.416242952733744,3.359365897629478,0.2581063197587657,271.0,2.445638003437933
modern_tcn_delta_bank_124,202,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed202_predictions.csv,,0.9655746807329262,0.573847862298723,0.5858068918457864,0.5216095380029806,0.4242110708742886,0.9656084656084656,0.7291666666666666,0.9738181818181818,0.0,0.09375,0.5894868585732165,0.5757889291257113,0.5551724137931034,671,2931,0.987491307730773,0.8464713000328818,0.0072182121043864,0.0152692948362021,0.8211399170755777,0.7617446257378319,0.1624097723486951,0.2781787895613548,0.0123705287844222,0.7087790896924933,0.7540137614678899,0.7883087400681045,0.9657729606389048,0.8238987484731817,2.8942201967546777,6.3641670704900735,-0.3549122212833148,756.0,0.8567768608416088,2.0540665453496416,6.3641670704900735,-0.5806958238216096,278.0,,,,,0.0,0.7891291270877764,1.8827636293854055,6.3641670704900735,-0.6440985682802485,141.0,0.7087790896924933,9.211772826985,13.508770338566022,-0.0428834405790832,3506.0,0.7087790896924933,0.974035195099896,1.7958515265898298,6.86416706661689,-0.0428834405790832,3506.0,0.6771316489513293,0.9423274829811258,1.8024666661866071,5.008770671214403,0.042896107861789,2750.0,0.6800354526448374,0.929242677644788,1.6824293358634894,6.86416706661689,-0.1045530055960626,2815.0,0.7087790896924933,0.974035195099896,1.7958515265898298,6.86416706661689,-0.0428834405790832,3506.0,0.8319098580161602,1.284949565068216,3.1457214437172274,5.008770671214403,-0.3234412355402264,328.0,0.8204221923894296,0.987538464296224,1.573945889507341,4.0059870567088725,0.6888597612667895,363.0,0.5016214170264263,0.7409259124409985,1.46749218327345,4.255205718483828,-0.023021142433556,378.0,0.661283753617767,0.8535147122207918,1.589637822238622,3.5802297761170663,0.2774535237449316,378.0,0.7697434141953565,0.960530907986374,1.760931101232826,3.859500629909844,-0.0478870196322062,330.0,0.7168695384333397,0.8978656995712121,1.7692331854968055,2.6795590905288127,-0.4552557393057235,207.0,0.8719243250038996,1.0401848071843929,1.6096539797499505,3.26960002974088,-0.0466504141383533,271.0,3.1457214437172274
modern_tcn_delta_bank_124,340,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed340_predictions.csv,,0.9608550805108274,0.5885619100499723,0.6062777209143637,0.511177347242921,0.4205897568546301,0.9484126984126984,0.6354166666666666,0.9756363636363636,0.0,0.1041666666666666,0.6295369211514393,0.5794102431453699,0.5712643678160919,671,2931,0.987514143677536,0.8597347868680634,0.0074958356468628,0.0166574125485841,0.8380703861297089,0.7815792962639418,0.1463076068850638,0.2518045530260966,0.0100088285282121,0.573463632536691,0.7517201834862385,0.800794551645857,0.9669138619509412,0.5798027471038093,2.4919904632543326,8.97673491858746,0.2467846448852187,756.0,0.5373033627249625,1.3232156535082074,3.779109943709028,0.3077582518038868,278.0,,,,,0.0,0.5601803974279743,1.3815606128301678,3.779109943709028,0.3975500548220663,141.0,0.573463632536691,9.441376039237326,12.797377108205222,0.1740165232606999,3506.0,0.5734636325366911,0.8359954257434415,1.7105468127658812,7.376734930981647,0.1740165232606999,3506.0,0.571720952313876,0.8362178461965517,1.7090586853004626,6.75470191930577,0.1540119050977413,2750.0,0.557730971386444,0.8052252833464711,1.629740957785232,7.376734930981647,0.1928816775600701,2815.0,0.5734636325366911,0.8359954257434415,1.7105468127658812,7.376734930981647,0.1740165232606999,3506.0,0.6891043292252288,1.0517146469460918,2.543160319525364,4.43215841751911,-0.0979353858335155,328.0,0.5909768353579168,0.8500348602585606,1.9115025040918796,4.925302771349085,0.2734512803686219,363.0,0.4962814795919738,0.7688084523052394,1.6463833326838635,5.2973768994987065,0.2175521136650479,378.0,0.4182598447306433,0.6371977623648865,1.5204305462753267,3.159264300114847,0.0449280741201866,378.0,0.5571052081197561,0.7741165266170479,1.7104761042997163,3.488555750809522,0.1585451884372635,330.0,0.6087437871970616,0.8317849308746441,1.7332399828811158,3.410050490304321,0.2648014099522019,207.0,0.6012936458418765,0.917445263471114,1.8547944316210263,7.376734930981647,0.1704741906702547,271.0,2.543160319525364
modern_tcn_delta_bank_124,520,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\03_offline\raw\modern_tcn_delta_bank_124_seed520_predictions.csv,,0.9680732926152138,0.5527484730705163,0.5735243944046401,0.4619970193740685,0.4945680289705121,0.9722222222222222,0.6354166666666666,0.9785454545454544,0.0,0.1041666666666666,0.6207759699624531,0.5054319710294879,0.5954022988505747,671,2931,0.9859987293034826,0.8841135693575237,0.0058300943920044,0.0166574125485841,0.7988749418345232,0.7417894085889771,0.1910049972237645,0.3256524153248195,0.0122537515363249,0.7020882462333684,0.757454128440367,0.7894438138479001,0.9492298916143752,0.6788167998266386,2.5676536446932943,5.911388707768051,-0.2770272993622087,756.0,0.5853583982147165,1.439884259827482,4.688770332183782,-0.0579104425398875,278.0,,,,,0.0,0.5581832539748095,1.4938022853997508,3.8778714908996506,0.0004326967225128,141.0,0.7020882462333684,9.347964878044351,13.164221445884728,-0.3124159725454572,3506.0,0.7020882462333685,0.9579498772370578,1.8226574310807648,8.66422132066082,-0.3124159725454572,3506.0,0.7084857784091823,0.9746522976505958,1.862089756673516,8.66422132066082,-0.3221446405187431,2750.0,0.6782904742494593,0.9079231681965144,1.7374877042063737,8.66422132066082,-0.304367647750429,2815.0,0.7020882462333685,0.9579498772370578,1.8226574310807648,8.66422132066082,-0.3124159725454572,3506.0,1.0678119441247815,1.3916858046359155,2.549001796124335,6.737177574886221,-0.7625471551635337,328.0,0.5561746242673107,0.8489234273361119,1.5109420047916629,5.426262355693436,0.0319008142333984,363.0,0.637367530591171,0.8025604633422688,1.5937717515450895,3.128682981879761,-0.4076516044069172,378.0,0.5730947237773546,0.7723482699569921,1.808832338460036,3.456675709456355,-0.2101617433907186,378.0,0.7506087818545726,0.9787955397966884,1.684968127850155,4.914767417997752,-0.275438839868566,330.0,0.5989472091827986,0.7948478300618687,1.5155178473374304,3.194127506629296,-0.1838993130794999,207.0,0.8356966555882223,1.0384912383124285,1.6657794050680903,4.756298704960406,-0.572938662303633,271.0,2.549001796124335
