sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_theta_variance_rad2,rkf_observer_valid,observer_update_available,rkf_uncertainty_halfwidth_deg,delta_abs_error_deg,rkf_locally_better
50,50.0,0.5,0.0,0.0,0.17410770461760258,2.839091438705183e-07,1,1,0.05983680466761852,0.17410770461760258,0
51,51.0,0.51,0.0,0.0,0.17392732249536963,2.841791366983514e-07,1,1,0.059865249804681615,0.17392732249536963,0
52,52.0,0.52,0.0,0.0,0.17385985076034574,2.8444888161484094e-07,1,1,0.05989365533223394,0.17385985076034574,0
53,53.0,0.53,0.0,0.0,0.1729098263195731,2.847183802637497e-07,1,1,0.05992202147957888,0.1729098263195731,0
54,54.0,0.54,0.0,0.0,0.1712557036725189,2.849876341734258e-07,1,1,0.059950348463368525,0.1712557036725189,0
55,55.0,0.55,0.0,0.0,0.17205208922471874,2.8525663982452764e-07,1,1,0.05997863596909997,0.17205208922471874,0
56,56.0,0.56,0.0,0.0,0.17246060448379966,2.8552539892176897e-07,1,1,0.0600068842317375,0.17246060448379966,0
57,57.0,0.57,0.0,0.0,0.17256951857678401,2.8579391014742605e-07,1,1,0.06003509316827285,0.17256951857678401,0
58,58.0,0.58,0.0,0.0,0.172412456113414,2.860621745463394e-07,1,1,0.060063262943805325,0.172412456113414,0
59,59.0,0.59,0.0,0.0,0.17221071877238353,2.863301906829547e-07,1,1,0.060091393462770815,0.17221071877238353,0
60,60.0,0.6,0.0,0.0,0.17242437576536862,2.8659796309076536e-07,1,1,0.06011948525576905,0.17242437576536862,0
61,61.0,0.61,0.0,0.0,0.1739762719670767,2.8686548493950597e-07,1,1,0.06014753766100447,0.1739762719670767,0
62,62.0,0.62,0.0,0.0,0.17365947449638847,2.871327628517839e-07,1,1,0.06017555142752501,0.17365947449638847,0
63,63.0,0.63,0.0,0.0,0.17400696366807167,2.873997928627332e-07,1,1,0.06020352619399524,0.17400696366807167,0
64,64.0,0.64,0.0,0.0,0.17367976903639545,2.87666575697601e-07,1,1,0.06023146209068228,0.17367976903639545,0
65,65.0,0.65,0.0,0.0,0.17487148745857473,2.879331126713859e-07,1,1,0.06025935930924869,0.17487148745857473,0
66,66.0,0.66,0.0,0.0,0.17377664341593546,2.8819940378853215e-07,1,1,0.06028721790385285,0.17377664341593546,0
67,67.0,0.67,0.0,0.0,0.1730038616532573,2.8846544673300647e-07,1,1,0.060315037685885343,0.1730038616532573,0
68,68.0,0.68,0.0,0.0,0.17536552722235266,2.8873124045600454e-07,1,1,0.06034281859943091,0.17536552722235266,0
69,69.0,0.69,0.0,0.0,0.1766912830020063,2.889967892174383e-07,1,1,0.060370561143089654,0.1766912830020063,0
70,70.0,0.7,0.0,0.0,0.1789422177943905,2.8926208920519896e-07,1,1,0.06039826497174816,0.1789422177943905,0
71,71.0,0.71,0.0,0.0,0.17900083129947736,2.895271415480008e-07,1,1,0.06042593025644056,0.17900083129947736,0
72,72.0,0.72,0.0,0.0,0.17934235345161506,2.897919478440385e-07,1,1,0.0604535572167832,0.17934235345161506,0
73,73.0,0.73,0.0,0.0,0.18016827105620048,2.9005650756795055e-07,1,1,0.06048114585052132,0.18016827105620048,0
74,74.0,0.74,0.0,0.0,0.17986934831920753,2.90320821090976e-07,1,1,0.0605086962487662,0.17986934831920753,0
75,75.0,0.75,0.0,0.0,0.17749238744772752,2.905848879183179e-07,1,1,0.060536208412182095,0.17749238744772752,0
76,76.0,0.76,0.0,0.0,0.17693190802347436,2.908487052779282e-07,1,1,0.06056368210426263,0.17693190802347436,0
77,77.0,0.77,0.0,0.0,0.17805512660484513,2.911122798525825e-07,1,1,0.06059111807280476,0.17805512660484513,0
78,78.0,0.78,0.0,0.0,0.1787572505173446,2.9137560279230576e-07,1,1,0.06061851544844403,0.1787572505173446,0
79,79.0,0.79,0.0,0.0,0.17918462137597063,2.916386848879408e-07,1,1,0.06064587540545528,0.17918462137597063,0
80,80.0,0.8,0.0,0.0,0.17983903156426886,2.919015134572185e-07,1,1,0.06067319667642251,0.17983903156426886,0
81,81.0,0.81,0.0,0.0,0.18003289026859265,2.921640974347666e-07,1,1,0.060700480241719715,0.18003289026859265,0
82,82.0,0.82,0.0,0.0,0.1789623139933283,2.9242643667384035e-07,1,1,0.06072772613693065,0.1789623139933283,0
83,83.0,0.83,0.0,0.0,0.17875163621639317,2.9268852733176487e-07,1,1,0.06075493401391302,0.17875163621639317,0
84,84.0,0.84,0.0,0.0,0.17932184475504157,2.929503718662707e-07,1,1,0.06078210417868929,0.17932184475504157,0
85,85.0,0.85,0.0,0.0,0.18005384313579417,2.9321196771912674e-07,1,1,0.06080923641653421,0.18005384313579417,0
86,86.0,0.86,0.0,0.0,0.17966070547291713,2.934733190642527e-07,1,1,0.060836331210814436,0.17966070547291713,0
87,87.0,0.87,0.0,0.0,0.17909123904495558,2.9373442219105265e-07,1,1,0.06086338822710875,0.17909123904495558,0
88,88.0,0.88,0.0,0.0,0.1793332672494146,2.9399527982534974e-07,1,1,0.06089040779805522,0.1793332672494146,0
89,89.0,0.89,0.0,0.0,0.17896097986422496,2.942558886965702e-07,1,1,0.06091738963493982,0.17896097986422496,0
90,90.0,0.9,0.0,0.0,0.17880398030394892,2.945162511349001e-07,1,1,0.06094433402897349,0.17880398030394892,0
91,91.0,0.91,0.0,0.0,0.17686363760888418,2.9477637042805727e-07,1,1,0.06097124136981056,0.17686363760888418,0
92,92.0,0.92,0.0,0.0,0.17780808413517513,2.950362376326396e-07,1,1,0.06099811078197083,0.17780808413517513,0
93,93.0,0.93,0.0,0.0,0.17780071137897724,2.952958639263536e-07,1,1,0.061024943470529946,0.17780071137897724,0
94,94.0,0.94,0.0,0.0,0.17723184052696722,2.95555239528337e-07,1,1,0.06105173847371074,0.17723184052696722,0
95,95.0,0.95,0.0,0.0,0.17741726588873216,2.958143698992958e-07,1,1,0.061078496404862424,0.17741726588873216,0
96,96.0,0.96,0.0,0.0,0.17554035342441243,2.960732557750487e-07,1,1,0.061105217388617565,0.17554035342441243,0
97,97.0,0.97,0.0,0.0,0.1754022637607489,2.9633189250546526e-07,1,1,0.06113190099377551,0.1754022637607489,0
98,98.0,0.98,0.0,0.0,0.17462768175194154,2.9659028045691265e-07,1,1,0.06115854730703477,0.17462768175194154,0
99,99.0,0.99,0.0,0.0,0.17394264292909836,2.968484254631288e-07,1,1,0.06118515697833041,0.17394264292909836,0
100,100.0,1.0,0.0,0.0,0.1754205895108121,2.971063212749486e-07,1,1,0.06121172941170257,0.1754205895108121,0
101,101.0,1.01,0.0,0.0,0.17564024382878787,2.9736397245546816e-07,1,1,0.061238265125481264,0.17564024382878787,0
102,102.0,1.02,0.0,0.0,0.17671025873066157,2.9762137743526303e-07,1,1,0.06126476400584832,0.17671025873066157,0
103,103.0,1.03,0.0,0.0,0.1765962713495341,2.9787853704311933e-07,1,1,0.06129122618584297,0.1765962713495341,0
104,104.0,1.04,0.0,0.0,0.17599443150847846,2.981354500515727e-07,1,1,0.0613176515867538,0.17599443150847846,0
105,105.0,1.05,0.0,0.0,0.178145028365181,2.9839211283160355e-07,1,1,0.061344039883080646,0.178145028365181,0
106,106.0,1.06,0.0,0.0,0.17829812644473517,2.9864852994753415e-07,1,1,0.06137039159165642,0.17829812644473517,0
107,107.0,1.07,0.0,0.0,0.1793504165978976,2.9890470145928907e-07,1,1,0.06139670676574637,0.1793504165978976,0
108,108.0,1.08,0.0,0.0,0.1792923270624279,2.991606246194917e-07,1,1,0.061422985170264816,0.1792923270624279,0
109,109.0,1.09,0.0,0.0,0.17941496051036643,2.994163031905654e-07,1,1,0.06144922723846583,0.17941496051036643,0
110,110.0,1.1,0.0,0.0,0.18064514035351442,2.9967173304430413e-07,1,1,0.06147543259344675,0.18064514035351442,0
111,111.0,1.11,0.0,0.0,0.1799973218378687,2.9992692057127206e-07,1,1,0.061501601937346724,0.1799973218378687,0
112,112.0,1.12,0.0,0.0,0.17809576507799796,3.001818597392709e-07,1,1,0.06152773469791069,0.17809576507799796,0
113,113.0,1.13,0.0,0.0,0.1772311344240651,3.004365514464507e-07,1,1,0.06155383101374023,0.1772311344240651,0
114,114.0,1.14,0.0,0.0,0.1782579073053494,3.0069100003972124e-07,1,1,0.06157989137628082,0.1782579073053494,0
115,115.0,1.15,0.0,0.0,0.17767893587513625,3.0094520419920026e-07,1,1,0.061605915696063704,0.17767893587513625,0
116,116.0,1.16,0.0,0.0,0.17718922318297037,3.0119916093925577e-07,1,1,0.06163190371328389,0.17718922318297037,0
117,117.0,1.17,0.0,0.0,0.1768582650612292,3.014528675600608e-07,1,1,0.06165785519773915,0.1768582650612292,0
118,118.0,1.18,0.0,0.0,0.17728674967191538,3.0170632962797095e-07,1,1,0.06168377076455941,0.17728674967191538,0
119,119.0,1.19,0.0,0.0,0.17924295502127205,3.0195954521416575e-07,1,1,0.0617096502619058,0.17924295502127205,0
120,120.0,1.2,0.0,0.0,0.17990518349456402,3.02212519059859e-07,1,1,0.061735494219403136,0.17990518349456402,0
121,121.0,1.21,0.0,0.0,0.18076646549535688,3.024652437313649e-07,1,1,0.06176130192271271,0.18076646549535688,0
122,122.0,1.22,0.0,0.0,0.1811347273081212,3.02717719389874e-07,1,1,0.06178707343371347,0.1811347273081212,0
123,123.0,1.23,0.0,0.0,0.18065882099393382,3.0296995246817295e-07,1,1,0.06181280945389212,0.18065882099393382,0
124,124.0,1.24,0.0,0.0,0.1801736930769391,3.03221938476347e-07,1,1,0.061838509569728105,0.1801736930769391,0
125,125.0,1.25,0.0,0.0,0.18018585812890034,3.0347368129186465e-07,1,1,0.061864174221186244,0.18018585812890034,0
126,126.0,1.26,0.0,0.0,0.17954381859110563,3.0372517240074446e-07,1,1,0.06188980258494282,0.17954381859110563,0
127,127.0,1.27,0.0,0.0,0.17884445460415863,3.0397642100901993e-07,1,1,0.061915395643623916,0.17884445460415863,0
128,128.0,1.28,0.0,0.0,0.17804046597163178,3.0422742737363317e-07,1,1,0.06194095346714888,0.17804046597163178,0
129,129.0,1.29,0.0,0.0,0.17897725504839868,3.044781839413736e-07,1,1,0.061966475330512284,0.17897725504839868,0
130,130.0,1.3,0.0,0.0,0.17979023399816912,3.047286980705441e-07,1,1,0.06199196202659001,0.17979023399816912,0
131,131.0,1.31,0.0,0.0,0.17991863284192536,3.049789603609425e-07,1,1,0.062017412642974515,0.17991863284192536,0
132,132.0,1.32,0.0,0.0,0.18084554886080914,3.052289810517581e-07,1,1,0.0620428282647087,0.18084554886080914,0
133,133.0,1.33,0.0,0.0,0.1808435699570888,3.054787596175228e-07,1,1,0.06206820888139811,0.1808435699570888,0
134,134.0,1.34,0.0,0.0,0.18106201040997433,3.0572828655049465e-07,1,1,0.06209355357045411,0.18106201040997433,0
135,135.0,1.35,0.0,0.0,0.1803130100133178,3.059775677564694e-07,1,1,0.062118862975343005,0.1803130100133178,0
136,136.0,1.36,0.0,0.0,0.18007538833935793,3.0622660728014263e-07,1,1,0.062144137549580696,0.18007538833935793,0
137,137.0,1.37,0.0,0.0,0.18063647535579394,3.064754000103595e-07,1,1,0.06216937681724185,0.18063647535579394,0
138,138.0,1.38,0.0,0.0,0.18098140948477395,3.0672394560221914e-07,1,1,0.06219458078634203,0.18098140948477395,0
139,139.0,1.39,0.0,0.0,0.18171481361788372,3.069722480412752e-07,1,1,0.062219749903690426,0.18171481361788372,0
140,140.0,1.4,0.0,0.0,0.18170045301245563,3.072203054642334e-07,1,1,0.062244884022806694,0.18170045301245563,0
141,141.0,1.41,0.0,0.0,0.18103959948294993,3.074681175321666e-07,1,1,0.06226998315174937,0.18103959948294993,0
142,142.0,1.42,0.0,0.0,0.18256531999152287,3.07715681451916e-07,1,1,0.06229504705008342,0.18256531999152287,0
143,143.0,1.43,0.0,0.0,0.18149419618242849,3.0796300322326555e-07,1,1,0.06232007636738076,0.18149419618242849,0
144,144.0,1.44,0.0,0.0,0.18185975757648118,3.082100799038338e-07,1,1,0.0623450708476965,0.18185975757648118,0
145,145.0,1.45,0.0,0.0,0.18183022945902647,3.0845690993226395e-07,1,1,0.062370030375059574,0.18183022945902647,0
146,146.0,1.46,0.0,0.0,0.1820609923766936,3.0870349401074115e-07,1,1,0.06239495506237876,0.1820609923766936,0
147,147.0,1.47,0.0,0.0,0.18281270300858776,3.089498346627473e-07,1,1,0.06241984520631027,0.18281270300858776,0
148,148.0,1.48,0.0,0.0,0.181976866285515,3.0919593227928217e-07,1,1,0.0624447008876434,0.181976866285515,0
149,149.0,1.49,0.0,0.0,0.18096991049559638,3.094417835572499e-07,1,1,0.06246952181410324,0.18096991049559638,0
150,150.0,1.5,0.0,0.0,0.18014691158342053,3.096873906439115e-07,1,1,0.06249430824375717,0.18014691158342053,0
151,151.0,1.51,0.0,0.0,0.18127830485097945,3.099327496717645e-07,1,1,0.06251905982756253,0.18127830485097945,0
152,152.0,1.52,0.0,0.0,0.18111457543843826,3.1017787382657663e-07,1,1,0.06254377793626857,0.18111457543843826,0
153,153.0,1.53,0.0,0.0,0.1806656646834591,3.104227432754456e-07,1,1,0.06256846061080025,0.1806656646834591,0
154,154.0,1.54,0.0,0.0,0.18047364057925236,3.106673710411197e-07,1,1,0.06259310920498487,0.18047364057925236,0
155,155.0,1.55,0.0,0.0,0.1808342213511502,3.109117553319317e-07,1,1,0.06261772357864707,0.1808342213511502,0
156,156.0,1.56,0.0,0.0,0.18311266499841966,3.111558909525663e-07,1,1,0.06264230324916241,0.18311266499841966,0
157,157.0,1.57,0.0,0.0,0.18266718648211588,3.113997882546486e-07,1,1,0.06266684929895858,0.18266718648211588,0
158,158.0,1.58,0.0,0.0,0.18288650358820496,3.116434398718636e-07,1,1,0.06269136102660919,0.18288650358820496,0
159,159.0,1.59,0.0,0.0,0.18274475756101993,3.118868425773441e-07,1,1,0.06271583814791976,0.18274475756101993,0
160,160.0,1.6,0.0,0.0,0.1820849817860341,3.121300019403367e-07,1,1,0.06274028126312213,0.1820849817860341,0
161,161.0,1.61,0.0,0.0,0.1816914510264395,3.123729166215782e-07,1,1,0.06276469027739812,0.1816914510264395,0
162,162.0,1.62,0.0,0.0,0.18186270110909208,3.1261559203488855e-07,1,1,0.06278906577420237,0.18186270110909208,0
163,163.0,1.63,0.0,0.0,0.18183418881411212,3.128580156588915e-07,1,1,0.06281340653557908,0.18183418881411212,0
164,164.0,1.64,0.0,0.0,0.18134065226136387,3.131001985531073e-07,1,1,0.0628377137116899,0.18134065226136387,0
165,165.0,1.65,0.0,0.0,0.18068700028417595,3.13342139613455e-07,1,1,0.06286198723074553,0.18068700028417595,0
166,166.0,1.66,0.0,0.0,0.18146874021734957,3.1358383639157144e-07,1,1,0.06288622688622207,0.18146874021734957,0
167,167.0,1.67,0.0,0.0,0.1815153956889501,3.1382529100232375e-07,1,1,0.06291043292923938,0.1815153956889501,0
168,168.0,1.68,0.0,0.0,0.1804053983390539,3.1406649615922547e-07,1,1,0.062934604668526,0.1804053983390539,0
169,169.0,1.69,0.0,0.0,0.18203772558881184,3.1430746178444533e-07,1,1,0.06295874313734445,0.18203772558881184,0
170,170.0,1.7,0.0,0.0,0.18215031829053013,3.145481847385355e-07,1,1,0.06298284805963782,0.18215031829053013,0
171,171.0,1.71,0.0,0.0,0.18234549523003354,3.14788660386781e-07,1,1,0.06300691901007477,0.18234549523003354,0
172,172.0,1.72,0.0,0.0,0.18159230839861024,3.15028891539607e-07,1,1,0.06303095630873073,0.18159230839861024,0
173,173.0,1.73,0.0,0.0,0.18008991578480185,3.152688834499292e-07,1,1,0.06305496051939256,0.18008991578480185,0
174,174.0,1.74,0.0,0.0,0.18027529659569486,3.1550863296847906e-07,1,1,0.06307893136502128,0.18027529659569486,0
175,175.0,1.75,0.0,0.0,0.18053779010114462,3.15748135100515e-07,1,1,0.06310286838453569,0.18053779010114462,0
176,176.0,1.76,0.0,0.0,0.18138889184605186,3.15987395538967e-07,1,1,0.0631267721850713,0.18138889184605186,0
177,177.0,1.77,0.0,0.0,0.18083265401993925,3.1622641216757676e-07,1,1,0.06315064259304123,0.18083265401993925,0
178,178.0,1.78,0.0,0.0,0.1829680300108369,3.1646518735137053e-07,1,1,0.06317447988235705,0.1829680300108369,0
179,179.0,1.79,0.0,0.0,0.18394113144597832,3.1670371407973883e-07,1,1,0.06319828339100995,0.18394113144597832,0
180,180.0,1.8,0.0,0.0,0.18540647739070343,3.169420025737512e-07,1,1,0.06322205417658051,0.18540647739070343,0
181,181.0,1.81,0.0,0.0,0.18528251989825162,3.171800462410949e-07,1,1,0.06324579161871095,0.18528251989825162,0
182,182.0,1.82,0.0,0.0,0.18544163709255332,3.1741784505391895e-07,1,1,0.06326949575215492,0.18544163709255332,0
183,183.0,1.83,0.0,0.0,0.18502531225825647,3.1765540256257583e-07,1,1,0.06329316696804171,0.18502531225825647,0
184,184.0,1.84,0.0,0.0,0.18272810991778193,3.178927181836402e-07,1,1,0.06331680524518805,0.18272810991778193,0
185,185.0,1.85,0.0,0.0,0.18445318575621164,3.181297942410247e-07,1,1,0.06334041085181989,0.18445318575621164,0
186,186.0,1.86,0.0,0.0,0.18512488996314017,3.18366620907463e-07,1,1,0.06336398284649815,0.18512488996314017,0
187,187.0,1.87,0.0,0.0,0.18596628170045965,3.186032046952222e-07,1,1,0.06338752191454299,0.18596628170045965,0
188,188.0,1.88,0.0,0.0,0.18532316383363456,3.188395487216354e-07,1,1,0.06341102840261162,0.18532316383363456,0
189,189.0,1.89,0.0,0.0,0.18631670335825354,3.1907565295742927e-07,1,1,0.06343450234401293,0.18631670335825354,0
190,190.0,1.9,0.0,0.0,0.1873945729354295,3.193115116419372e-07,1,1,0.06345794320244615,0.1873945729354295,0
191,191.0,1.91,0.0,0.0,0.18807126580884606,3.195471253612252e-07,1,1,0.06348135107277353,0.18807126580884606,0
192,192.0,1.92,0.0,0.0,0.18781583075762542,3.197824994309818e-07,1,1,0.06350472651928735,0.18781583075762542,0
193,193.0,1.93,0.0,0.0,0.187381145749984,3.2001762957042704e-07,1,1,0.06352806915288112,0.187381145749984,0
194,194.0,1.94,0.0,0.0,0.18775531016925548,3.2025252099556886e-07,1,1,0.06355137952724786,0.18775531016925548,0
195,195.0,1.95,0.0,0.0,0.18705890308259196,3.2048716721583043e-07,1,1,0.0635746570341082,0.18705890308259196,0
196,196.0,1.96,0.0,0.0,0.18726125929525292,3.207215707369724e-07,1,1,0.06359790195799328,0.18726125929525292,0
197,197.0,1.97,0.0,0.0,0.18608638787387677,3.209557416327605e-07,1,1,0.06362111533304793,0.18608638787387677,0
198,198.0,1.98,0.0,0.0,0.18632753144566935,3.211896626756694e-07,1,1,0.06364429548696099,0.18632753144566935,0
199,199.0,1.99,0.0,0.0,0.1864253386490924,3.214233465256671e-07,1,1,0.06366744370985951,0.1864253386490924,0
200,200.0,2.0,0.0,0.0,0.1871730354143697,3.216567813301092e-07,1,1,0.06369055886310117,0.1871730354143697,0
201,201.0,2.01,0.0,0.0,0.18825153562902494,3.2188997714037274e-07,1,1,0.06371364197744384,0.18825153562902494,0
202,202.0,2.02,0.0,0.0,0.18861539814524897,3.2212293390104715e-07,1,1,0.0637366930822156,0.18861539814524897,0
203,203.0,2.03,0.0,0.0,0.1881106959630656,3.2235564495417394e-07,1,1,0.06375971155368483,0.1881106959630656,0
204,204.0,2.04,0.0,0.0,0.1879057447083489,3.2258811653668857e-07,1,1,0.06378269804377149,0.1879057447083489,0
205,205.0,2.05,0.0,0.0,0.1896907758380455,3.228203468067026e-07,1,1,0.063805652405015,0.1896907758380455,0
206,206.0,2.06,0.0,0.0,0.18899820902056463,3.230523400869009e-07,1,1,0.06382857509911573,0.18899820902056463,0
207,207.0,2.07,0.0,0.0,0.19017853466300488,3.2328408847156635e-07,1,1,0.06385146537945469,0.19017853466300488,0
208,208.0,2.08,0.0,0.0,0.19026577846682358,3.2351559239879526e-07,1,1,0.06387432332412814,0.19026577846682358,0
209,209.0,2.09,0.0,0.0,0.19042718571308276,3.237468580560464e-07,1,1,0.06389714957844048,0.19042718571308276,0
210,210.0,2.1,0.0,0.0,0.19150388238273564,3.23977883677286e-07,1,1,0.06391994400212547,0.19150388238273564,0
211,211.0,2.11,0.0,0.0,0.19055300394859856,3.24208672982819e-07,1,1,0.06394270699609651,0.19055300394859856,0
212,212.0,2.12,0.0,0.0,0.18988225921652443,3.24439211901073e-07,1,1,0.0639654372067538,0.18988225921652443,0
213,213.0,2.13,0.0,0.0,0.18945307871111317,3.2466951308777817e-07,1,1,0.06398813591617358,0.18945307871111317,0
214,214.0,2.14,0.0,0.0,0.1900066833593914,3.248995749820058e-07,1,1,0.0640108030041027,0.1900066833593914,0
215,215.0,2.15,0.0,0.0,0.1890107158681036,3.2512939966328857e-07,1,1,0.06403343870890146,0.1890107158681036,0
216,216.0,2.16,0.0,0.0,0.18820220968265602,3.2535898393755267e-07,1,1,0.06405604274941828,0.18820220968265602,0
217,217.0,2.17,0.0,0.0,0.188731160912944,3.2558832198813216e-07,1,1,0.06407861458677712,0.188731160912944,0
218,218.0,2.18,0.0,0.0,0.18914649900639066,3.258174216456504e-07,1,1,0.06410115502529333,0.18914649900639066,0
