method_id,method_label,seed,path_id,path_label,n_samples,duration_s,mae_deg,p95_abs_error_deg,raw_result_file
gru_22d,GRU-22D,520,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.739437725338,3.10920059122,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\gru_22d\seed520\path_closed_loop_sharp_turn_transition_theta10_v1\gru_22d_seed520_out.mat
gru_22d,GRU-22D,520,p03_long_updown,P3 Long up/down slope,4401,44,0.80915223661,3.07113371318,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\gru_22d\seed520\path_closed_loop_long_updown_theta10_v1\gru_22d_seed520_out.mat
gru_22d,GRU-22D,520,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,1.9713161473,3.31231264216,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\gru_22d\seed520\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\gru_22d_seed520_out.mat
gru_22d,GRU-22D,520,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,2.0827349333,3.29561953566,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\gru_22d\seed520\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\gru_22d_seed520_out.mat
gru_22d,GRU-22D,520,p06_downhill_after_turn,P6 Downhill recovery,3801,38,0.67061082067,1.9433918822,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\gru_22d\seed520\path_factory_target_downhill_straight_after_turn_v1\gru_22d_seed520_out.mat
tcn_22d,TCN-22D,1,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.86655124699,12.9205391976,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,1,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.840441130561,2.22370993152,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,1,p03_long_updown,P3 Long up/down slope,4401,44,1.14526588891,2.79548505022,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,1,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,2.09763518763,2.39469578426,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,1,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,1.97670552734,2.41477943534,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,1,p06_downhill_after_turn,P6 Downhill recovery,3801,38,1.56202301546,2.89696537237,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed1\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed1_out.mat
tcn_22d,TCN-22D,7,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.82402659915,12.9250071754,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,7,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.618975293926,1.94920910818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,7,p03_long_updown,P3 Long up/down slope,4401,44,0.772774185281,2.0850014681,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,7,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,1.84535840404,2.10521701741,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,7,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,1.88049136396,2.10054811161,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,7,p06_downhill_after_turn,P6 Downhill recovery,3801,38,1.45256901701,2.70323499468,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed7\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed7_out.mat
tcn_22d,TCN-22D,11,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.83472009637,12.848134236,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,11,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,1.5003436059,2.84299465605,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,11,p03_long_updown,P3 Long up/down slope,4401,44,1.23145215919,3.18494094589,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,11,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,2.02868943326,2.20039299762,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,11,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,2.13572003242,2.34239110253,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,11,p06_downhill_after_turn,P6 Downhill recovery,3801,38,1.34723327483,2.67914500532,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed11\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed11_out.mat
tcn_22d,TCN-22D,21,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.81365268169,12.8553409353,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,21,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.803893577216,1.64910102978,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,21,p03_long_updown,P3 Long up/down slope,4401,44,0.802738413399,1.92813781097,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,21,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,0.754337093588,0.949063572464,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,21,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,0.809080543213,0.997009028521,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,21,p06_downhill_after_turn,P6 Downhill recovery,3801,38,0.328579763639,1.44317765112,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed21\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed21_out.mat
tcn_22d,TCN-22D,42,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.83102668924,12.9416575019,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed42_out.mat
