time_s,reference_grade_deg,modern_tcn_delta_deg,modern_tcn_22d_deg,gru_22d_deg,tcn_22d_deg
42.57,-5.2,-4.67301672972,-5.92078443111,-4.59244371818,-6.29296297815
42.58,-5.2,-4.6715691078,-5.91601084674,-4.59547968573,-6.2909443244
42.59,-5.2,-4.66915993178,-5.91170569931,-4.59801534515,-6.28872721577
42.6,-5.2,-4.66676461711,-5.90810052213,-4.6002126731,-6.28633085918
42.61,-5.2,-4.66405650625,-5.90483187328,-4.60202392644,-6.28361811448
42.62,-5.2,-4.66226647557,-5.90202504636,-4.60306259638,-6.28058914579
42.63,-5.2,-4.6570314575,-5.89930518191,-4.60513753069,-6.27755239933
42.64,-5.2,-4.65547222754,-5.89673608279,-4.60682611591,-6.27447332982
42.65,-5.2,-4.6518058644,-5.894409004,-4.60825409791,-6.27126056062
42.66,-5.2,-4.64781895893,-5.89194484328,-4.60928832733,-6.26789712824
42.67,-5.2,-4.64625019505,-5.88960400326,-4.60970883424,-6.26383640235
42.68,-5.2,-4.64235361586,-5.88729857438,-4.6108773788,-6.25846679926
42.69,-5.2,-4.63989887993,-5.88471818305,-4.6118075774,-6.25322983836
42.7,-5.2,-4.6345131848,-5.88220226091,-4.61251726151,-6.24792678462
42.71,-5.2,-4.63111236486,-5.87950863888,-4.61284417584,-6.24251075588
42.72,-5.2,-4.626341962,-5.8765900464,-4.61261230038,-6.23672374304
42.73,-5.2,-4.62115391051,-5.87350679849,-4.61335247764,-6.22970645081
42.74,-5.2,-4.61836437392,-5.87025095934,-4.61387697311,-6.22288969658
42.75,-5.2,-4.61589205011,-5.86701899746,-4.61436279124,-6.21607066193
42.76,-5.2,-4.61277518944,-5.86417652167,-4.61451737057,-6.20911902209
42.77,-5.2,-4.60927552662,-5.86124710716,-4.61414127332,-6.20206291513
42.78,-5.2,-4.60547924776,-5.8586770112,-4.61451305573,-6.19366513548
42.79,-5.2,-4.60312128747,-5.85621941446,-4.6146460239,-6.18545374916
42.8,-5.2,-4.60024805578,-5.85351572465,-4.61476988114,-6.17721753701
42.81,-5.2,-4.59672866428,-5.85078418398,-4.61475366238,-6.16865239968
42.82,-5.2,-4.59408816831,-5.84795262438,-4.61441071494,-6.16020764944
42.83,-5.2,-4.59221487706,-5.84497405108,-4.61493054229,-6.15050089304
42.84,-5.2,-4.5888774227,-5.84192619035,-4.61538362275,-6.14111306051
42.85,-5.2,-4.58869224006,-5.83884478099,-4.61577210031,-6.13176128352
42.86,-5.2,-4.58831831558,-5.8357040802,-4.62072127595,-6.12211540614
42.87,-5.2,-4.58591754532,-5.83272653584,-4.62105218587,-6.11296193914
42.88,-5.2,-4.58201875902,-5.82995050989,-4.61925791525,-6.1025811825
42.89,-5.2,-4.58140964613,-5.82721400478,-4.61845106461,-6.0926230265
42.9,-5.2,-4.57957835451,-5.82487238893,-4.61723336424,-6.08281877364
42.91,-5.2,-4.57903261019,-5.82265027842,-4.62769068534,-6.07266201544
42.92,-5.2,-4.57804019668,-5.82062538116,-4.63282534924,-6.06334063807
42.93,-5.2,-4.57480096448,-5.81871369711,-4.62584269294,-6.05293037143
42.94,-5.2,-4.57493804951,-5.81696062492,-4.61714934534,-6.04298323641
42.95,-5.2,-4.57506373077,-5.81486395901,-4.60938617147,-6.03325721742
42.96,-5.2,-4.57668054955,-5.81252225354,-4.615719509,-6.02315216563
42.97,-5.2,-4.57933907595,-5.81034887287,-4.61528636743,-6.01406527896
42.98,-5.2,-4.58023260837,-5.80846718306,-4.60453119992,-6.00404813673
42.99,-5.2,-4.57967439322,-5.80662004266,-4.59450972875,-5.99444514325
43,-5.2,-4.58098235708,-5.80466008024,-4.58302685617,-5.98501726431
43.01,-5.2,-4.58298310374,-5.80300231642,-4.55346861106,-5.97507224389
43.02,-5.2,-4.58500478394,-5.80152926211,-4.55450954431,-5.9661458987
43.03,-5.2,-4.58698686186,-5.80008322135,-4.55497235463,-5.95643190283
43.04,-5.2,-4.58502091005,-5.79845235802,-4.54414021579,-5.94710294382
43.05,-5.2,-4.58586291405,-5.79662791341,-4.53047759673,-5.93792399476
43.06,-5.2,-4.58918508328,-5.79462998527,-4.53407994162,-5.92813193128
43.07,-5.2,-4.58974918744,-5.79238234525,-4.5405737873,-5.91933460248
43.08,-5.2,-4.5919065649,-5.79012359502,-4.53925992363,-5.9097659187
43.09,-5.2,-4.59274795018,-5.78818137745,-4.53098054179,-5.9005277797
43.1,-5.2,-4.59540838312,-5.78651989615,-4.52165474813,-5.89140033036
43.11,-5.2,-4.59525364655,-5.78484029403,-4.49778404145,-5.88163341595
43.12,-5.2,-4.59853162364,-5.78345644925,-4.50659851444,-5.87287500566
43.13,-5.2,-4.60173152456,-5.78225612055,-4.50916997397,-5.86367052365
43.14,-5.2,-4.60401855004,-5.78094077779,-4.50536247036,-5.85383691395
43.15,-5.2,-4.60579125331,-5.77964156371,-4.49601843768,-5.84442529886
43.16,-5.2,-4.60902542936,-5.77836170361,-4.50032765385,-5.83660522715
43.17,-5.2,-4.61143203447,-5.77680877538,-4.50077155613,-5.83032607922
43.18,-5.2,-4.61601021875,-5.77514032328,-4.48342065826,-5.82024348077
43.19,-5.2,-4.6208784026,-5.77309829589,-4.47706116746,-5.81069096645
43.2,-5.2,-4.62346253647,-5.77107262147,-4.46176374366,-5.80318388458
43.21,-5.2,-4.62768451884,-5.76902710682,-4.44711993285,-5.79631640321
43.22,-5.2,-4.63316951931,-5.76713105354,-4.44796567657,-5.78963033162
43.23,-5.2,-4.63712245272,-5.76557694463,-4.4410103787,-5.78191782131
43.24,-5.2,-4.64050844036,-5.76424779908,-4.43563509761,-5.77329521159
43.25,-5.2,-4.64503788132,-5.76340805281,-4.43436550241,-5.76626800652
43.26,-5.2,-4.64865482549,-5.76309322779,-4.43522105864,-5.75817405176
43.27,-5.2,-4.65277766028,-5.76306922961,-4.43271274202,-5.74954783379
43.28,-5.2,-4.6557606121,-5.76341563447,-4.44073625253,-5.74115104805
43.29,-5.2,-4.66187593978,-5.76385486013,-4.44079284352,-5.73318509296
43.3,-5.2,-4.66587331108,-5.76454202572,-4.44121504795,-5.72458757425
43.31,-5.2,-4.67237532366,-5.76540712444,-4.44185157541,-5.71578082876
43.32,-5.2,-4.67854779018,-5.76640252651,-4.44200449101,-5.70653804946
43.33,-5.2,-4.68464312435,-5.76740209045,-4.44116174082,-5.69723685582
43.34,-5.2,-4.68976951394,-5.76817692574,-4.44336832798,-5.68814380766
43.35,-5.2,-4.69424601958,-5.76894841364,-4.44793221028,-5.67874673179
43.36,-5.2,-4.69973895103,-5.76989430212,-4.45244689167,-5.66884659748
43.37,-5.2,-4.70562933588,-5.77070948361,-4.45831003309,-5.65881403417
43.38,-5.2,-4.7094941776,-5.77149630334,-4.46259645068,-5.64823787567
43.39,-5.2,-4.71207194796,-5.77210665139,-4.47383295633,-5.63797790925
43.4,-5.2,-4.7165090785,-5.77284447658,-4.48022843259,-5.627397308
43.41,-5.2,-4.72323701922,-5.77378669263,-4.49036600762,-5.61690671303
43.42,-5.2,-4.72927938687,-5.77475136595,-4.4956811039,-5.60608572505
43.43,-5.2,-4.73202753094,-5.77579403856,-4.50770486448,-5.59454091339
43.44,-5.2,-4.7346931944,-5.77661023388,-4.5142587066,-5.58250758841
43.45,-5.2,-4.73918872302,-5.77751166927,-4.51986436251,-5.57005737003
43.46,-5.2,-4.74523642642,-5.77863459488,-4.5316716306,-5.55774399957
43.47,-5.2,-4.75054638684,-5.77985652382,-4.54458755012,-5.54505853263
43.48,-5.2,-4.7561530088,-5.78114650101,-4.55642216332,-5.5326511886
43.49,-5.2,-4.75992707801,-5.78213201392,-4.56172415229,-5.51993677194
43.5,-5.2,-4.7664155014,-5.78318521449,-4.56851271784,-5.50649299368
43.51,-5.2,-4.77133603284,-5.78452419284,-4.58729743025,-5.49222827486
43.52,-5.2,-4.77573945909,-5.78592931646,-4.60424551642,-5.47748695537
43.53,-5.2,-4.77895130365,-5.78750265331,-4.62169336457,-5.46199389217
43.54,-5.2,-4.78560197111,-5.7887075234,-4.63966411427,-5.44624347331
43.55,-5.2,-4.79150739797,-5.7900828665,-4.65120324775,-5.43032995716
43.56,-5.2,-4.79780497262,-5.7917699637,-4.67510526651,-5.4144612126
43.57,-5.2,-4.8045502644,-5.7936122123,-4.69103582845,-5.39814349486
43.58,-5.2,-4.8101613988,-5.79562154518,-4.70535900145,-5.3828984884
43.59,-5.2,-4.81587071285,-5.79721185497,-4.72429531026,-5.36772512041
43.6,-5.2,-4.82221638703,-5.79866008903,-4.74451785349,-5.35253767157
43.61,-5.2,-4.8266326842,-5.80017182529,-4.76983528716,-5.33740625765
43.62,-5.2,-4.83405768853,-5.80162083253,-4.79264256939,-5.32184910313
43.63,-5.2,-4.83934012891,-5.80319963595,-4.81467582578,-5.30579332551
43.64,-5.2,-4.84556015962,-5.80443802589,-4.83548859106,-5.29035966396
43.65,-5.2,-4.85152638988,-5.80579491163,-4.85557674901,-5.27362639856
43.66,-5.2,-4.85783062995,-5.80744237563,-4.87692498777,-5.2569912735
43.67,-5.2,-4.86331937927,-5.80927151093,-4.89854747116,-5.2407173605
43.68,-5.2,-4.86962301943,-5.8114220118,-4.919693694,-5.22553596596
43.69,-5.2,-4.87775006484,-5.81333324071,-4.93990154224,-5.21023645832
43.7,-5.2,-4.88416496443,-5.81547130995,-4.95916048195,-5.19332712653
43.71,-5.2,-4.89288593187,-5.81791174567,-4.97656905775,-5.17815201733
43.72,-5.2,-4.8989402857,-5.82043380185,-4.9933350006,-5.16142601015
43.73,-5.2,-4.90751042715,-5.82322405284,-5.009396876,-5.14647015219
43.74,-5.2,-4.91287707341,-5.82561938837,-5.02498361019,-5.13011713941
43.75,-5.2,-4.92033409369,-5.82829537896,-5.03975356134,-5.11523877
43.76,-5.2,-4.92880298202,-5.83145299954,-5.0531100043,-5.10057190152
43.77,-5.2,-4.93606812221,-5.83444365426,-5.06584743418,-5.08607351312
43.78,-5.2,-4.94377383864,-5.83745211799,-5.07818668658,-5.06960776538
43.79,-5.2,-4.94864918585,-5.84015250093,-5.08980569532,-5.05312994992
43.8,-5.2,-4.95608293874,-5.84307120538,-5.10071545808,-5.03705540811
43.81,-5.2,-4.96183383667,-5.84655936052,-5.11085883707,-5.02101969372
43.82,-5.2,-4.96725460352,-5.84990800427,-5.12015294384,-5.00682893943
43.83,-5.2,-4.97119614736,-5.85326732933,-5.12901429866,-4.99217051536
43.84,-5.2,-4.97367474689,-5.85646703511,-5.13725517111,-4.97944159206
43.85,-5.2,-4.97978792664,-5.85990949568,-5.14488931507,-4.96411725099
43.86,-5.2,-4.98391421846,-5.86374763757,-5.15255368003,-4.9488660917
43.87,-5.2,-4.99609257336,-5.86753561329,-5.15867623408,-4.9351628099
43.88,-5.2,-5.00869173815,-5.87295482699,-5.16458208074,-4.92250538755
43.89,-5.2,-5.02171576462,-5.87885644026,-5.16996694701,-4.90957663951
43.9,-5.2,-5.036936863,-5.88511836291,-5.17483585994,-4.8992870159
43.91,-5.2,-5.05006975428,-5.89203269515,-5.18046333397,-4.8866773656
43.92,-5.2,-5.06372442051,-5.89799092335,-5.18400254195,-4.87564254418
43.93,-5.2,-5.07683667031,-5.9020526945,-5.18732775315,-4.86536954297
43.94,-5.2,-5.09013822395,-5.9038223882,-5.1902921264,-4.85489016678
43.95,-5.2,-5.1023890516,-5.90553876814,-5.1928109054,-4.84560925856
43.96,-5.2,-5.1139065969,-5.9063721989,-5.19591712486,-4.83365862445
43.97,-5.2,-5.13152283567,-5.90677369807,-5.19811214247,-4.82404623232
43.98,-5.2,-5.15238343128,-5.90700049685,-5.1994085121,-4.8178350723
43.99,-5.2,-5.17279212166,-5.90504395839,-5.20027157028,-4.80933312817
44,-5.2,-5.19088391549,-5.90264814336,-5.20073117374,-4.80143686053
44.01,-5.2,-5.20900391451,-5.90012663489,-5.20158728462,-4.79526231636
44.02,-5.2,-5.22501133539,-5.89683806227,-5.20266581753,-4.78513933921
44.03,-5.2,-5.24091550414,-5.89476507903,-5.20216496238,-4.77799697902
44.04,-5.2,-5.25522665283,-5.89245958084,-5.20114899554,-4.77410379514
44.05,-5.2,-5.26883955987,-5.89021935124,-5.19975515233,-4.76523591086
44.06,-5.19892268519,-5.28259328729,-5.88883763002,-5.19852222238,-4.76110877509
44.07,-5.19892268519,-5.29690241271,-5.8872664363,-5.19717353111,-4.75722816609
44.08,-5.19892268519,-5.31251071012,-5.88618797444,-5.1957572147,-4.75349511283
44.09,-5.19892268519,-5.32637551801,-5.88574526193,-5.19411069368,-4.74912508657
44.1,-5.19892268519,-5.34067557302,-5.88504738226,-5.19098250303,-4.74039996005
44.11,-5.19571481481,-5.35272506048,-5.88398975834,-5.18770380584,-4.73298102635
44.12,-5.19571481481,-5.3648081698,-5.88369474057,-5.18398153278,-4.72585200638
44.13,-5.19571481481,-5.37891499555,-5.88303004007,-5.17933423808,-4.72295671715
44.14,-5.19571481481,-5.39227569446,-5.88158072281,-5.17331678288,-4.72128187959
44.15,-5.19571481481,-5.40500742398,-5.88018261937,-5.16862166663,-4.71798562919
44.16,-5.1904125,-5.41672891066,-5.87944481503,-5.16550004197,-4.70955669447
44.17,-5.1904125,-5.42803931819,-5.8768002083,-5.1593681591,-4.70224305833
44.18,-5.1904125,-5.44050420538,-5.8760200518,-5.15890170973,-4.69475241076
44.19,-5.1904125,-5.45083192483,-5.87434023199,-5.155690743,-4.69225226095
44.2,-5.1904125,-5.46121048362,-5.87455092933,-5.14901969373,-4.6908073141
44.21,-5.18305185185,-5.46999515439,-5.87530504578,-5.1456696961,-4.68288689029
44.22,-5.18305185185,-5.47895247398,-5.87452014505,-5.14245436813,-4.68101312942
44.23,-5.18305185185,-5.48706263128,-5.87500656372,-5.13088070391,-4.6773450395
44.24,-5.18305185185,-5.49556823206,-5.87445584768,-5.12800170472,-4.67329661081
44.25,-5.18305185185,-5.50296854406,-5.87568610451,-5.12324664931,-4.66353685294
44.26,-5.17366898148,-5.51243028515,-5.87566921937,-5.12118794217,-4.65697139941
44.27,-5.17366898148,-5.52156312346,-5.87571633357,-5.11126850389,-4.6558349283
44.28,-5.17366898148,-5.52784890136,-5.87615083562,-5.09921155507,-4.64817056339
44.29,-5.17366898148,-5.53243999788,-5.87660103831,-5.08910563645,-4.64648816598
44.3,-5.17366898148,-5.53891620136,-5.87575859164,-5.08599728749,-4.64111031833
44.31,-5.1623,-5.54413302297,-5.87568691621,-5.08409840057,-4.63564087224
44.32,-5.1623,-5.54777233776,-5.87702926761,-5.07502795432,-4.62818945476
44.33,-5.1623,-5.55130901732,-5.87617277299,-5.07164862698,-4.62699519099
44.34,-5.1623,-5.55590293281,-5.87554753225,-5.06006502085,-4.62563221654
44.35,-5.1623,-5.55793625118,-5.87435920923,-5.04596804052,-4.62316199969
44.36,-5.14898101852,-5.55847085072,-5.87334334429,-5.04220827824,-4.61426141547
44.37,-5.14898101852,-5.56001119118,-5.87039399472,-5.03142111571,-4.60513228634
44.38,-5.14898101852,-5.5582713841,-5.8675147506,-5.02807049168,-4.60231519546
44.39,-5.14898101852,-5.55744371807,-5.86550021048,-5.03282906244,-4.59728955629
44.4,-5.14898101852,-5.56006535047,-5.86039297369,-5.02934935389,-4.59261443836
44.41,-5.13374814815,-5.56085865027,-5.85795454949,-5.03666757039,-4.58920129543
44.42,-5.13374814815,-5.56180083253,-5.85373850122,-5.03843374425,-4.58787030441
44.43,-5.13374814815,-5.56254462119,-5.85033449176,-5.03756487021,-4.58053018503
44.44,-5.13374814815,-5.56669022473,-5.84668506413,-5.04652318092,-4.57921065149
44.45,-5.13374814815,-5.56733726703,-5.84222519786,-5.04198665967,-4.57217908041
44.46,-5.1166375,-5.56594596986,-5.83663063089,-5.04788191804,-4.57278258683
44.47,-5.1166375,-5.56216657377,-5.83060970732,-5.05477177238,-4.56657114556
44.48,-5.1166375,-5.55969465479,-5.82513516119,-5.0593907551,-4.569490855
44.49,-5.1166375,-5.55689541788,-5.81809146653,-5.05350666358,-4.5649966465
