time_s,reference_grade_deg,modern_tcn_delta_deg,qualified_observer_deg,fused_grade_deg,scheduled_grade_deg,effective_gain,correction_deg,innovation_deg,nis,quality_score,p_help,v7_gate,fallback,active
129.95,0.867855550379,0,1.18017285035,0,3.05803101907e-35,0,0,1.18017285035,0.121095732077,0.433584127009,0.831886761381,1,1,0
129.96,0.868211033092,0,1.18113688768,0,2.9900747742e-35,0,0,1.18113688768,0.120972029847,0.302327872745,0.851964630596,1,1,0
129.97,0.868566515806,0,1.18071347829,0,2.92211852933e-35,0,0,1.18071347829,0.121326432511,0.30251242491,0.851964630596,1,1,0
129.98,0.86892199852,0,1.18127611305,0,2.85416228446e-35,0,0,1.18127611305,0.120932098113,0.390651694027,0.851964630596,1,1,0
129.99,0.869277481233,0,1.18039610143,0,2.78620603959e-35,0,0,1.18039610143,0.121222136149,0.302075875453,0.851964630596,1,1,0
130,0.869632963947,0,1.18079915119,0,2.71824979472e-35,0,0,1.18079915119,0.121017345478,0.301888134281,0.851964630596,1,1,0
130.01,0.869987916004,0,1.18015356634,0,2.65784424373e-35,0,0,1.18015356634,0.120812806986,0.30206626889,0.849962806507,1,1,0
130.02,0.870342868061,0,1.18035890915,0,2.59743869274e-35,0,0,1.18035890915,0.121150837798,0.344824068397,0.851964630596,1,1,0
130.03,0.870697820118,0,1.18247139413,0,2.53703314174e-35,0,0,1.18247139413,0.121161658652,0.43752813757,0.840271662784,1,1,0
130.04,0.871052772175,0,1.18303337609,0,2.47662759075e-35,0,0,1.18303337609,0.121676429443,0.302109113526,0.851964630596,1,1,0
130.05,0.871407724232,0,1.18472298463,0,2.41622203976e-35,0,0,1.18472298463,0.121771416863,0.302199005365,0.851964630596,1,1,0
130.06,0.87176214189,0,1.18548837728,0,2.36252821665e-35,0,0,1.18548837728,0.121952431565,0.302419023447,0.846235648483,1,1,0
130.07,0.872116559549,0,1.18539378095,0,2.30883439354e-35,0,0,1.18539378095,0.121979820495,0.302291776181,0.851964630596,1,1,0
130.08,0.872470977207,0,1.18767682801,0,2.25514057044e-35,0,0,1.18767682801,0.122345833137,0.414583586367,0.851964630596,1,1,0
130.09,0.872825394865,0,1.18829254887,0,2.20144674733e-35,0,0,1.18829254887,0.122557648404,0.30189427041,0.851964630596,1,1,0
130.1,0.873179812524,0,1.18976994084,0,2.14775292423e-35,0,0,1.18976994084,0.122827080068,0.301693290811,0.851964630596,1,1,0
130.11,0.873533692041,0,1.19019284387,0,2.10002508147e-35,0,0,1.19019284387,0.122776047415,0.301668461343,0.851964630596,1,1,0
130.12,0.873887571558,0,1.19071216671,0,2.05229723871e-35,0,0,1.19071216671,0.122920391666,0.301446406948,0.851964630596,1,1,0
130.13,0.874241451075,0,1.19205785893,0,2.00456939595e-35,0,0,1.19205785893,0.123136159713,0.301575759883,0.849962806507,1,1,0
130.14,0.874595330592,0,1.19205666983,0,1.95684155318e-35,0,0,1.19205666983,0.123289404306,0.473544924875,0.851964630596,1,1,0
130.15,0.87494921011,0,1.19030120686,0,1.90911371042e-35,0,0,1.19030120686,0.122948335565,0.3393191805,0.851964630596,1,1,0
130.16,0.875302547744,0,1.19020918586,0,1.8666889613e-35,0,0,1.19020918586,0.123067918884,0.301514597048,0.780159100856,1,1,0
130.17,0.875655885377,0,1.19244991894,0,1.82426421218e-35,0,0,1.19244991894,0.123559131198,0.30161194143,0.843153977561,1,1,0
130.18,0.876009223011,0,1.19263550961,0,1.78183946306e-35,0,0,1.19263550961,0.123513679969,0.350206877443,0.851964630596,1,1,0
130.19,0.876362560645,0,1.1925411727,0,1.73941471394e-35,0,0,1.1925411727,0.123647286429,0.301573034838,0.851964630596,1,1,0
130.2,0.876715898279,0,1.1932053858,0,1.69698996482e-35,0,0,1.1932053858,0.123404731318,0.301574950408,0.851964630596,1,1,0
130.21,0.877068690287,0,1.19326191954,0,1.65927907671e-35,0,0,1.19326191954,0.123527775241,0.301247874465,0.851964630596,1,1,0
